	pvalue	qvalue	Weighted time diff	firstpresence	neworder	SP_y	DR
0	0.0051817723456861475	0.0	62.93518518518518	60	2	SP8	DR145
1	1.0470912070862566e-06	0.0	40.261717495987156	8	20	SP23	DR233
2	0.0056853165417701	0.0	79.50229302437847	215	2	SP18	DR9
3	0.0012399986618459224	0.0	40.04774756983301	73	8	SP20	DR9
4	0.0009111149250281416	0.0	10.548270035872733	5	27	SP17	DR9
5	0.0004757015915597722	0.0	13.410895174916105	16	35	SP32	DR9
6	0.00015859667226647103	0.0	10.847425767741301	4	41	SP29	DR9
7	6.828608108864694e-05	0.0	33.14874751984125	22	55	SP5	DR18
8	0.00558382862304053	0.0	72.42545076282941	149	3	SP21	DR8
9	0.0004819259469785973	0.0	71.00878409616274	149	6	SP31	DR8
10	0.013275754191436643	0.0	48.50878409616274	77	7	SP33	DR8
11	0.015135089048215597	0.0	56.961165048543684	56	9	SP49	DR8
12	0.00030925335934355876	0.0	79.38973647711512	134	11	SP28	DR8
13	0.013320000662408406	0.0	40.5504507628294	56	13	SP52	DR8
14	0.0012773858059821539	0.0	41.6754507628294	94	18	SP51	DR8
15	0.0012773858059821539	0.0	39.00878409616273	94	19	SP50	DR8
16	3.7059068037213415e-05	0.0	61.1754507628294	53	20	SP25	DR8
17	0.009364161482635492	0.0	48.47545076282941	69	21	SP13	DR8
18	3.6276356049910295e-05	0.0	70.47545076282941	128	23	SP35	DR8
19	8.076745863709176e-05	0.0	64.03908712646577	109	24	SP48	DR8
20	0.00013745045700029032	0.0	57.1754507628294	75	25	SP26	DR8
21	3.5902603555678705e-05	0.0	58.09211742949606	77	26	SP19	DR8
22	0.00024880380533095825	0.0	45.21391230129093	75	28	SP46	DR8
23	0.00021878821502090517	0.0	40.14211742949607	53	30	SP20	DR8
24	0.0075561869825759905	0.0	25.464924447039923	21	32	SP15	DR8
25	1.5174450154824592e-06	0.0	106.1597026305757	207	9	SP28	DR11
26	3.889012758077143e-05	0.0	88.0739883448614	148	12	SP0	DR11
27	9.322971594617344e-05	0.0	75.35970263057568	66	14	SP70	DR11
28	1.922190043741779e-06	0.0	74.13748040835345	20	20	SP57	DR11
29	4.012175869470037e-06	0.0	79.55970263057567	148	26	SP2	DR11
30	0.006830065107940941	0.0	45.43662570749875	74	29	SP34	DR11
31	0.001866644687583336	0.0	35.975087245960296	8	30	SP53	DR11
32	4.270327430089796e-09	0.0	76.20585647672952	20	32	SP48	DR11
33	1.3895922392104206e-08	0.0	61.109702630575676	26	33	SP54	DR11
34	1.0170995785023809e-06	0.0	54.64541691628996	26	34	SP73	DR11
35	0.00036697932384873984	0.0	37.2441977402244	56	60	SP84	DR232
36	0.001329903823829891	0.0	41.28867924528302	55	74	SP74	DR240
37	0.000354998443062215	0.0	18.824032780636557	9	88	SP34	DR240
38	0.00010969862084518478	0.0	18.70600207992869	4	90	SP16	DR240
39	0.0002706441517652877	0.0	59.79535768189948	31	1	SP56	DR250
40	1.4140842394007557e-05	0.0	63.573135459677246	10	2	SP66	DR250
41	9.571820890972874e-14	0.0	80.96529232242236	119	7	SP67	DR250
42	0.0005324918454920802	0.0	27.612351145951767	10	8	SP47	DR250
43	1.2548873301460312e-07	0.0	58.29535768189948	10	10	SP74	DR250
44	6.134946147190726e-11	0.0	77.43278458248426	31	11	SP53	DR250
45	7.472669401688169e-14	0.0	76.22225826669481	10	12	SP51	DR250
46	5.197856239846533e-14	0.0	70.66837355491535	10	13	SP48	DR250
47	1.4326788409510105e-12	0.0	73.0969449834868	22	14	SP60	DR250
48	6.321097097800066e-15	0.0	67.6564687930106	10	15	SP55	DR250
49	3.660435838062385e-15	0.0	60.77133365787546	7	17	SP65	DR250
50	0.001257017067927664	0.0	14.197937846996908	21	43	SP8	DR68
51	0.00010741681298021231	0.0	16.48939211986047	21	44	SP9	DR68
52	0.0006448151457778235	0.0	81.76685082872929	171	12	SP45	DR13
53	5.105823965641e-05	0.0	84.80018416206262	171	13	SP47	DR13
54	4.600704078434715e-07	0.0	81.13351749539594	171	17	SP8	DR13
55	8.247557488920869e-22	0.0	94.8954222573007	221	18	SP48	DR13
56	0.0005106085575092983	0.0	34.84920376990574	108	21	SP35	DR13
57	4.325038139197696e-16	0.0	91.37861553461164	201	22	SP33	DR13
58	3.1155360045976265e-13	0.0	85.80895609188717	171	24	SP9	DR13
59	8.887121940447605e-19	0.0	91.41685082872928	201	25	SP41	DR13
