	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55
am0001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	2	1	6	0	0	0	4	4	5	6	3	2	3	5	2	4	0	0	4	8	10	11	8	4	9	5	9	5	4	14	5	5	10	3	6	5	11	26
am0002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	2	2	3	0	3	3	0	0	4	1	3	3	0	4	6	7	2	2	0	7	9	5	10	8	3	7	6	7	6	12	7	7	3	8	4	10	5	9
am0003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	2	2	1	0	2	4	11	9	0	1	5	5	1	1	0	6	10	1	7	2	1	5	1	5	0	3	4	4	3	3	2	4	5	7
am0004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	3	3	1	0	2	0	1	1	0	1	1	1	2	2	0	3	5	7	4	5	1	2	3	2	3	2	5	5	0	2	3	6	3	4
am0005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	4	0	0	4	0	2	0	3	0	0	0	0	0	4	0	3	0	5	4
am0006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	1	1	1	2	2	3	3	1	0	3	0	0	0	2	2	2	3	2	0	0	0	2	0	0	4	0	0	1	0	0	0	0	7
am0007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	3	2	0	2	1	1	1	2	2	2	3	0	3	0	2
am0008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	6	3	0	3	6	6	3	3	0	3	1	1	2	5	3	2	4	4	5	7	2	3	8	6	2	2	4	6	3	5	7	7	4	8	7	7	6	22
am0009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	2	2	2	2	2	1	0	0	6	5	1	0	1	1	0	0	1	1	1	1	2	0	0	1	0	2	0	3	0	0	2	0	0	0	0	7
am0010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	23	28	10	11	9	12	14	13	22	24	15	36	34	26	32	33	39	18	18	37	50	60	49	54	32	53	58	38	58	40	78	42	42	70	47	60	47	71	169
am0011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	7	7	1	0	6	6	3	5	4	6	12	11	7	7	5	10	12	12	9	9	16	6	11	20	10	10	12	10	16	13	22	22	7	19	8	28	21	37
am0012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	5	4	5	3	5	6	5	9	5	11	11	7	7	7	12	10	10	9	9	15	10	11	14	15	14	13	9	20	13	14	14	13	14	23	19	20	39
am0013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	11	12	8	5	1	8	8	1	17	9	14	9	9	20	9	11	4	8	8	34	15	18	15	24	16	17	6	14	24	19	14	18	18	24	15	24	22	29	106
am0014	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	10	6	6	0	2	6	7	5	6	6	4	4	5	8	4	4	6	6	6	10	12	6	7	16	14	17	10	21	18	21	15	13	13	29	13	26	19	18	55
am0015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	2	0	0	2	0	2
am0016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	12	12	4	4	1	3	3	3	3	6	4	15	15	2	7	3	5	7	7	5	4	7	7	6	13	13	7	11	23	11	14	13	13	10	19	23	15	24	31
am0017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	3	0	3	4	4	2	0	0	1	0	0	3	0	0	6	0	0	3	2	0	0	0	0	0	0	6	0	0	0	2	15
am0018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	4	2	4	0	3	3	1	8	9	5	16	14	3	9	2	11	8	8	8	1	5	10	2	11	8	14	11	14	12	8	10	10	5	16	13	13	22	29
am0019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
am0020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	8	1	1	4	2	2	5	9	4	8	7	7	11	11	15	15	12	12	13	4	12	20	5	10	8	20	16	16	9	19	16	16	21	16	14	16	25	56
am0021	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	3	2	1	4	4	1	4	2	2	5	5	4	1	6	4	7	7	6	8	0	4	9	7	4	6	12	7	7	0	11	11	10	11	4	13	5	25
am0022	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	1	1	7	0	1	1	2	3	3	3	3	0	0	7	0	0	6	1	0	2	5	0	1	0	1	0	0	6	2	1	0	1	16
am0023	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	2	0	0	0	0	1	1	1	4
am0024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
am0025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	0	1	1	1	2	4	0	1	1	2	4	0	2	1	2	2	5	2	2	3	2	7	1	1	1	1	1	3	5	5	1	3	5	7	4	17
am0026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	3	1	8	3	3	10	1	4	5	14	14	2	2	2	7	5	5	2	6	8	8	6	9	3	12	19	10	7	13	8	8	4	8	11	11	18	17
am0027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	0	0	2	3	3	2	1	0	2	1	1	4	3	4	3	1	1	4	3	2	7	5	6	0	3	4	5	1	0	7	7	5	4	6	7	5	23
am0028	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	5	7	3	1	1	0	1	3	6	2	10	7	6	6	2	3	15	3	3	10	1	9	15	1	7	8	20	8	13	10	10	10	10	24	11	10	10	12	46
am0029	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	2	2	4	2	1	0	0	0	2	2	2	3	1	1	4	4	2	3	4	2	2	3	4	2	0	4	2	2	5	2	1	2	7	15
am0030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	2	4	3	8	17	11	15	20	8	9	4	7	7	13	6	10	12	10	10	14	20	17	9	26	11	12	13	8	7	12	18	13	13	18	14	11	16	14	58
am0031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	2	2	0	0	0	0	0	1	0	7	2	2	4	4	0	6	0	0	4	0	0	9	2	4	3	6	4	4	3	0	4	4	5	2	3	4	4	19
am0039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	1	1	3	0	0	0	0	4	3	1	3	1	1	5	3	0	1	3	2	0	3	1	3	2	4	2	2	2	1	3	2	5	13
am0051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	3	1	0	2	2	5	5	1	4	3	7	1	1	1	3	5	12	4	6	3	10	8	7	5	8	5	5	2	4	10	6	14	12
am0052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	2	0	0	2	0	1	0	1	2	0	2	0	0	4	0	0	0	2	6
am0053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	1	0	0	0	0	2	0	1	0	2	2	2	2	3	0	2	3	4	0	3	6	5	1	3	3	6	2	6	4	8	12
am0054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	2	0	2	0	2	0	0
am0055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	3	0	4	1	1	3	0	2	0	0	0	1	4	2	2	0	4	0	0	2	1	0	0	0	10
am0056	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	3	2	3	3	0	3	0	0	0	1	5	3	5	1	1	1	4	2	2	4	4	4	7	6	1	5	0	3	3	3	3	7	4	3	10
am0057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	1	0	2	3	4	3	0	0	0	5	0	0	0	0	2	5	0	0	0	5	1	0	3	2	0	0	0	0	3	0	3	3
am0058	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	7	11	6	0	9	7	7	14	11	1	10	5	4	8	24	6	22	8	8	14	11	22	27	12	21	15	30	13	26	14	38	28	28	23	21	24	31	30	73
am0059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	2	1	2	0	0	0	4	2	2	2	2	2	1	3	8	2	2	0	4	3	2	1	4	1	1	0	3	1	2	9	9
am0060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
am0061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	4	1	1	7	5	2	6	5	5	3	5	1	5	7	7	7	1	8	5	2	6	6	7	9	14	5	15	10	10	10	17	10	11	12	29
am0062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	2	1	1	1	3	3	1	1	2	3	3	5	1	7	3	3	4	3	6	13	3	1	1	15	0	2	3	12	3	3	1	7	6	3	7	13
am0063	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	2	0	0	0	0	4	0	5	0	4	4	4	6	2	0	8	3	0	0	2	2	0	0	6	6	4	7	2	6	2	14
am0064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	1	0	3	0	1	7	7	3	3	4	4	3	3	4	2	4	3	3	5	4	5	6	6	9	1	4	4	6	3	11	6	10	18
am0065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	3	0	0	0	0	0	0	1	3	3	0	0	0	7	0	1	7	6	3	5	2	0	2	2	6	4	2	3	2	6
am0066	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	5	4	0	4	0	1	1	2	3	6	0	1	1	5	1	7	3	2	2	6	4	2	3	4	4	8	3	1	2	3	5	6	6	9	4	3	6	1	22
am0067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	1	1	0	2	1	2	2	1	2	1	2	2	3	2	1	3	3	8	2	4	4	5	5	14	4	11	8
am0068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	6
am0069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	1	1	2	1	1	0	1	1	2	4	0
am0070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	2	0	3	4	2	3	3	0	4	2	0	4	2	4	2	1	2	2	2	2	2	4	3	1	4	2	5
am0071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	1	0	1	0	0	1	1	0	1	1	1	1	4	0	3	4	1	1	1	0	0	0	0	1	1	2	1	0	1	2	5
am0072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	1	1	1	1	0	0	0	0	1	0	0	4	0	0	1	1	2	0	1	5	1	4	1	0	3	3	4	4	1	1	5	5	10	4
am0073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	6	5	6	1	1	4	3	4	12	4	4	8	3	6	9	4	10	7	13	8	5	7	9	11	11	3	12	6	12	5	25
am0074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	3	3	1	2	1	2	1	3	5	3	6	2	4	4	5	6	4	3	6	6	8	3	6	10	7	5	6	6	12	7	10	8	13	28
am0075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
am0076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	3	3	4	4	1	2	1	1	7	0	4	6	2	2	8	5	7	3	5	4	3	6	4	6	6	9	5	5	7	6	11	6	14	23
am0077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	1	2	0	0	0	1	4	1	0	4	0	3	0	1	3	0	0	1	1	6	1	2	1	4	8
am0078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
am0079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	0	0	2	2	1	1	2	2	2	6	4	7	0	0	2	2	4	6	2	3	2	8	4	7	4	3	3	3	4	0	8	3	10	13
am0080	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	4	0	2	5	7	9	6	8	12	18	12	16	12	9	11	15	17	17	19	19	20	28	7	25	32	17	22	20	38	31	25	19	26	26	17	30	48	29	49	73
am0081	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	2	1	1	4	1	3	0	0	0	2	0	0	1	2	2	2	0	1	2	0	2	1	2	3	1	4	3	2	2	4	2	2	4	6	9
am0082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	1	2	2	2	2	0	0	2	0	2
am0083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	3	2	4	5	3	7	4	12	6	8	9	9	9	9	8	8	11	15	10	30	17	8	9	18	7	14	13	5	12	12	13	11	16	13	8	55
am0084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	1	1	1	0	1	0	2	1	1	0	0	0	3	0	0	1	3	1	0	0	0	3	3	3	1	0	3	1	6
