	0	1	2	3	4	5	6	7	8
am0001	0	1	0	3	0	5	2	3	6
am0002	0	1	3	2	4	3	4	3	3
am0003	0	1	1	2	2	3	2	4	3
am0004	0	0	0	0	0	0	0	0	0
am0005	0	0	0	0	0	0	0	0	0
am0006	0	3	2	1	0	5	5	2	5
am0007	0	2	2	3	4	3	2	6	3
am0008	0	1	2	4	1	4	3	4	4
am0009	0	3	2	1	5	5	1	5	5
am0010	0	6	8	5	4	7	8	7	9
am0011	0	2	1	4	6	8	7	7	9
am0012	0	0	0	1	3	4	5	4	4
am0013	0	5	2	4	4	8	6	7	9
am0014	0	7	6	3	8	9	12	12	11
am0015	0	2	1	1	2	4	1	6	4
am0016	0	6	6	9	6	5	11	8	10
am0017	0	5	5	0	4	9	5	10	10
am0018	0	2	2	3	1	5	1	6	5
am0019	0	0	0	0	0	0	0	0	0
am0020	0	7	6	7	1	6	6	7	7
am0021	0	1	5	4	3	2	5	3	2
am0022	0	4	5	9	5	9	10	8	9
am0023	0	3	7	9	11	9	10	11	13
am0024	0	0	0	1	0	4	2	1	4
am0025	0	3	2	2	5	8	5	8	8
am0026	0	13	11	17	24	17	15	28	20
am0027	0	5	9	9	6	7	7	10	7
am0028	0	3	4	2	3	5	6	4	5
am0029	0	0	2	2	5	2	3	2	3
am0030	0	8	8	6	8	4	5	10	6
am0031	0	10	20	27	23	18	30	20	24
am0039	0	0	1	0	1	2	3	1	2
am0051	0	6	3	1	7	7	5	6	8
am0052	0	1	0	1	2	4	1	2	4
am0053	0	10	18	8	18	8	9	19	8
am0054	0	1	1	1	1	1	2	3	2
am0055	0	1	3	1	4	3	2	3	3
am0056	0	6	7	5	16	4	3	14	4
am0057	0	9	16	3	18	5	3	13	6
am0058	0	2	4	3	5	1	3	5	1
am0059	0	0	0	0	0	0	0	0	0
am0060	0	2	0	5	0	3	4	0	4
am0061	0	4	2	5	5	2	4	7	2
am0062	0	1	1	0	1	1	1	2	1
am0063	0	6	5	5	8	9	3	14	11
am0064	0	2	2	1	4	3	2	3	3
am0065	0	3	1	2	2	2	2	3	4
am0066	0	4	2	3	3	2	2	3	2
am0067	0	0	0	1	2	0	0	1	0
am0068	0	3	1	3	2	1	4	3	2
am0069	0	2	1	4	4	2	2	4	2
am0070	0	0	0	0	0	0	1	0	1
am0071	0	0	0	0	0	2	0	2	2
am0072	0	2	2	2	3	0	2	5	4
am0073	0	7	8	4	2	2	2	8	2
am0074	0	2	1	2	0	1	0	1	1
am0075	0	2	2	4	4	2	2	6	3
am0076	0	0	1	1	4	2	2	3	2
am0077	0	1	2	5	8	5	8	5	5
am0078	0	2	0	2	0	1	3	0	1
am0079	0	14	9	5	16	19	5	21	20
am0080	0	3	2	2	3	7	2	5	8
am0081	0	7	6	8	11	7	6	11	8
am0082	0	2	2	1	3	2	1	1	3
am0083	0	3	4	0	1	3	3	3	3
am0084	0	1	0	1	2	2	0	2	2
am0085	0	0	0	0	0	1	5	1	1
am0086	0	1	4	1	5	1	2	2	3
am0087	0	0	0	2	0	0	1	0	0
am0088	0	1	0	0	0	1	0	0	1
am0089	0	2	3	2	3	5	2	4	5
am0090	0	0	2	3	2	2	1	2	2
am0091	0	1	0	1	3	2	0	2	2
am0092	0	2	2	2	0	3	5	2	4
am0093	0	1	0	1	0	1	1	0	1
am0094	0	0	2	9	3	1	4	4	2
am0095	0	0	0	4	0	1	5	0	2
am0096	0	2	2	1	3	1	0	4	1
am0097	1	1	0	2	2	2	2	3	2
am0098	0	7	6	7	6	8	13	10	11
am0099	0	1	1	2	1	1	2	2	1
am0100	0	0	0	0	0	0	0	0	0
am0101	0	0	1	0	1	1	1	1	1
am0102	0	0	0	0	0	0	0	0	0
am0103	0	4	1	1	4	10	6	5	10
am0104	0	0	0	1	0	0	1	0	1
am0105	0	2	2	1	3	2	0	4	2
am0106	0	0	1	1	2	3	1	2	4
am0107	0	0	0	0	0	1	0	0	1
am0108	0	1	4	2	3	2	2	2	2
am0109	0	0	0	3	0	3	2	3	3
am0110	0	4	5	3	5	6	7	9	7
am0111	0	1	1	1	1	2	2	2	2
am0112	0	0	0	0	1	0	0	1	0
am0113	0	0	0	2	0	0	1	0	0
am0114	0	1	1	5	0	6	5	5	9
am0115	0	0	0	3	1	2	3	2	2
am0116	0	5	2	6	2	7	10	3	9
am0117	0	7	5	7	7	11	8	10	13
am0118	0	4	5	4	5	3	10	6	3
am0119	0	3	3	1	3	4	6	4	5
am0120	0	2	2	2	2	5	1	4	5
am0121	0	0	0	0	0	2	2	2	2
am0122	0	0	0	1	0	0	1	0	0
am0123	0	0	0	1	1	1	0	2	1
am0124	0	1	1	5	4	1	5	5	5
am0125	0	3	2	5	1	5	2	5	5
am0126	0	0	2	4	2	3	6	0	3
am0127	0	2	2	4	1	2	3	1	2
am0128	0	0	0	3	1	2	4	1	3
am0129	0	0	0	2	0	0	2	0	0
am0130	0	1	1	1	5	2	6	6	4
am0131	0	1	8	2	5	1	2	2	2
am0132	0	1	0	1	2	4	5	4	5
am0134	0	1	0	2	0	2	2	1	2
am0135	0	2	4	4	3	5	2	4	5
am0136	0	1	1	0	0	1	1	1	1
am0137	0	1	3	0	3	1	0	3	1
am0138	0	1	0	0	2	2	3	2	3
am0139	0	3	2	1	2	2	3	6	4
am0140	0	1	1	0	1	3	0	1	3
am0141	0	1	0	2	0	6	5	2	7
am0142	0	3	1	5	2	2	3	1	2
am0143	0	3	2	2	0	8	1	9	9
am0146	0	0	0	2	0	1	1	1	1
am0147	0	3	5	2	10	4	2	9	4
am0148	0	0	0	0	5	1	0	7	1
am0149	0	2	4	1	5	2	2	6	2
am0150	0	1	2	1	1	6	4	4	6
am0151	0	0	0	1	0	1	3	0	2
am0152	0	0	0	2	2	1	3	1	3
am0153	0	0	0	0	0	0	0	0	0
