	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
am0001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
am0002	0	0	0	0	0	0	0	0	0	0	0	2	2	0	1	1	0	2	0	0	0	1	0	2	4	2	5
am0003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	2
am0004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	3	1	3	0	5	2	3
am0005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	4	2	0
am0006	0	0	0	0	0	0	0	0	0	0	2	2	0	0	3	0	2	2	3	0	3	1	4	2	5	0	1
am0007	0	0	0	0	0	0	0	0	0	1	0	0	0	2	2	2	3	4	3	1	3	6	3	1	9	4	3
am0008	0	0	0	0	0	0	0	0	0	0	3	0	0	0	4	0	1	2	0	0	1	4	3	0	5	10	9
am0009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	4	0	3	0	6	0	1	2	4
am0010	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	2	1	2	1	1	1	4	4	0	0
am0011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	1	3	0	3	0
am0012	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	1	0	0	1	1	1	1	2	0	2
am0013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0
am0014	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	6	6	2	5	2	15	9	8	15	16	12
am0015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	2	2	0	0	0
am0016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	1	0	0	0	5	2	8	4	0	2	2
am0017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	6	3	2	0	10	2
am0018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	2	0	0
am0019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
am0020	0	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	2	2	2	4	1	3	2	4	6	3	7
am0021	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	5	2	0	3	2	3	1	2	1	0	1	1
am0022	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	2	1	0	2	0	0	0	2	0
am0023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0
am0024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
am0025	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	6	0	2	0	1	1	4	12	3	7
am0026	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	6	3	5	1	6	6	4	13	5	2
am0027	0	0	0	0	0	0	0	0	0	3	1	1	1	4	2	1	2	0	1	7	6	11	7	8	1	10	5
am0028	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	1	0	0	0	0	0	2	0	0	0	2	2
am0029	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	3	0	0	0	1	1	2	7	0	0
am0030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	2	1	3	1	4	0	1
am0031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	3	3	2	9	6	6
am0039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	2	2	0	5	3
am0051	0	0	0	0	0	0	0	0	0	0	1	3	3	0	2	2	0	0	0	0	2	0	4	0	0	3	4
am0052	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	1	2	3	0	2	6	1	2	2	0
am0053	0	0	0	0	0	0	0	0	0	0	2	1	1	3	5	3	2	1	4	0	3	3	3	2	0	1	0
am0054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
am0055	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	1	2	0	0
am0056	0	0	0	0	0	0	0	0	0	3	1	0	0	3	3	2	1	0	2	0	2	7	3	3	0	6	7
am0057	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	3	0	1	1	4	1	3	6	8	12
am0058	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	4	0	4	0	0	0	0
