	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
am0001	0	0	0	0	0	0	2	5	3	5	1	8	5	4	9	5
am0002	0	0	0	0	0	0	2	4	7	4	6	9	1	9	12	16
am0003	0	0	0	0	0	0	0	1	3	3	1	4	0	5	7	4
am0004	0	0	0	0	0	0	2	4	0	4	5	1	2	1	2	5
am0005	0	0	0	0	0	0	2	0	0	0	1	0	6	0	1	0
am0006	0	0	0	0	0	0	3	1	5	1	3	0	4	12	2	14
am0007	0	0	0	0	0	0	2	0	1	2	1	5	4	1	8	5
am0008	0	0	0	0	0	2	1	3	1	5	8	3	2	1	7	7
am0009	0	0	0	0	0	0	1	1	1	1	2	1	6	1	2	0
am0010	0	0	0	0	0	0	0	2	3	2	1	4	2	5	5	8
am0011	0	0	0	0	0	0	1	4	3	4	0	2	1	4	2	6
am0012	0	0	0	0	0	0	1	0	0	0	2	1	1	0	4	2
am0013	0	0	0	0	0	0	4	4	6	4	4	4	4	8	7	4
am0014	0	0	0	0	0	0	6	0	1	1	0	2	6	1	2	2
am0015	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1
am0016	0	0	0	2	0	0	0	3	6	4	0	3	3	6	1	6
am0017	0	0	0	0	0	0	4	1	0	1	1	0	4	3	1	6
am0018	0	0	0	0	0	1	1	2	3	3	5	2	1	6	7	9
am0019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
am0020	0	0	0	0	0	0	0	3	0	3	8	6	1	1	11	5
am0021	0	0	0	0	0	1	6	3	10	4	7	3	7	15	5	15
am0022	0	0	0	0	0	0	0	5	7	5	1	1	0	9	2	7
am0023	0	0	0	0	0	0	1	5	3	5	3	6	2	7	7	9
am0024	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1
am0025	0	0	0	0	0	0	2	0	1	0	1	0	4	6	0	11
am0026	0	0	0	0	0	0	5	1	2	1	3	0	5	3	2	3
am0027	0	0	0	0	0	0	3	3	6	3	3	6	2	9	8	6
am0028	0	0	0	0	0	0	5	0	2	0	2	11	9	2	11	5
am0029	0	0	0	0	0	0	2	0	1	0	1	3	4	1	2	1
am0030	0	0	0	0	0	0	1	2	4	2	4	5	4	4	8	8
am0031	0	0	0	0	0	0	0	5	0	5	2	0	0	1	4	4
am0039	0	0	0	0	0	1	3	1	1	3	3	0	12	2	0	1
am0051	0	0	0	0	0	0	5	1	2	5	4	1	5	3	4	15
am0052	0	0	0	0	0	0	0	0	2	4	0	1	0	2	1	2
am0053	0	0	0	0	0	0	2	0	1	0	2	1	3	1	2	4
am0054	0	0	0	0	0	0	0	0	0	1	2	2	0	0	1	2
am0055	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
am0056	0	0	0	0	0	0	6	4	8	4	9	1	12	14	9	25
am0057	0	0	0	0	0	0	0	2	1	4	0	5	0	2	4	8
am0058	0	0	0	0	0	0	3	0	0	0	4	6	3	0	6	2
am0059	0	0	0	0	0	0	0	2	2	2	2	3	0	2	5	1
am0060	0	0	0	0	0	0	0	0	0	0	2	2	0	0	1	5
am0061	0	0	0	0	0	0	0	2	2	2	0	3	1	2	3	1
am0062	0	0	0	0	0	0	1	1	1	1	1	2	1	1	3	1
am0063	0	0	0	0	0	0	1	2	5	2	2	5	1	5	5	8
am0064	0	0	0	0	0	0	0	2	4	3	5	8	2	7	10	10
am0065	0	0	0	0	0	0	8	2	4	4	10	11	8	7	17	15
am0066	0	0	0	0	0	0	4	3	3	3	2	2	6	3	2	4
am0067	0	0	0	0	0	0	0	3	1	3	0	0	0	1	0	2
am0068	0	0	0	0	0	0	2	1	1	2	4	3	1	4	6	8
am0069	0	0	0	0	0	0	0	1	2	2	4	2	0	2	2	5
am0070	0	0	0	0	0	0	0	4	5	5	0	3	2	8	3	6
am0071	0	0	0	0	0	0	0	0	0	0	0	5	2	0	5	0
am0072	0	0	0	0	0	0	1	1	1	1	2	3	0	2	5	4
am0073	0	0	0	0	0	1	3	1	5	1	5	0	3	8	3	11
am0074	0	0	0	0	0	0	1	0	0	0	3	2	3	0	2	3
am0075	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2
am0076	0	0	0	0	0	0	1	0	2	0	9	3	4	4	8	7
am0077	0	0	0	0	0	0	0	3	2	7	1	0	0	2	0	2
am0078	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
am0079	0	0	0	0	0	0	0	5	5	5	1	0	1	6	0	2
am0080	0	0	0	0	0	0	0	0	0	0	1	2	0	1	2	1
am0081	0	0	0	0	0	0	1	4	4	5	4	12	3	4	12	1
am0082	0	0	0	0	0	0	0	2	2	2	3	3	0	3	4	1
am0083	0	0	0	0	0	0	4	1	0	1	3	1	4	0	2	4
am0084	0	0	0	0	0	0	0	2	2	2	1	0	0	3	2	4
am0085	0	0	0	0	0	0	5	1	2	1	1	2	4	2	4	7
am0086	0	0	0	0	0	0	2	1	3	1	2	2	3	3	3	5
am0087	0	0	0	0	0	0	0	1	1	1	1	3	0	1	4	0
am0088	0	0	0	0	0	0	0	0	0	0	3	2	2	0	3	0
am0089	0	0	0	0	0	0	4	2	1	2	4	2	5	2	4	6
am0090	0	0	0	0	0	0	1	2	0	2	1	0	1	0	1	0
am0091	0	0	0	0	0	0	0	0	1	0	2	1	1	2	2	6
am0092	0	0	0	0	0	0	3	0	0	0	2	1	2	0	1	0
am0093	0	0	0	0	0	0	0	1	0	1	1	3	1	1	4	3
am0094	0	0	0	0	0	0	2	2	1	2	1	0	5	4	1	3
am0095	0	0	0	0	0	0	0	1	1	1	5	6	5	2	5	3
am0096	0	0	0	0	0	0	3	4	3	5	4	0	3	5	2	6
am0097	0	0	0	0	0	0	1	4	2	5	1	2	6	2	3	6
am0098	0	0	0	0	0	0	1	1	5	1	3	2	1	6	7	9
am0099	0	0	0	0	0	0	2	6	8	6	4	8	3	8	9	4
am0100	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	2
am0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
am0102	0	0	0	0	0	0	2	2	3	4	5	8	3	3	9	4
am0103	0	0	0	0	0	0	2	0	2	0	1	1	4	2	2	0
am0104	0	0	0	0	0	0	0	1	1	2	0	0	0	1	0	1
am0105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
am0106	0	0	0	0	0	0	0	4	7	4	7	4	1	9	7	5
am0107	0	0	0	0	0	0	0	0	0	0	0	5	2	0	5	8
am0108	0	0	0	0	0	0	4	5	2	6	8	6	4	2	10	3
am0109	0	0	0	0	0	0	2	1	3	1	4	4	6	4	6	3
am0110	0	0	0	0	0	0	7	4	3	6	5	7	11	5	6	5
am0111	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
am0112	0	0	0	0	0	0	3	1	2	1	1	0	3	2	0	3
am0113	0	0	0	0	0	0	1	2	0	2	1	1	1	2	1	1
am0114	0	0	0	0	0	0	1	0	5	0	4	2	1	5	3	2
am0115	0	0	0	0	0	0	1	0	1	0	3	2	1	3	2	7
am0116	0	0	0	0	0	0	2	3	4	3	5	0	3	6	2	5
am0117	0	0	0	0	0	0	1	3	3	3	2	7	1	7	6	8
am0118	0	0	0	0	0	0	2	0	5	0	3	2	2	7	4	9
am0119	0	0	0	0	0	0	1	1	2	1	3	5	3	3	6	3
am0120	0	0	0	0	0	0	2	0	3	1	3	3	3	3	6	6
am0121	0	0	0	0	0	0	1	1	1	3	1	4	2	1	3	1
am0122	0	0	0	0	0	0	0	2	1	2	0	2	0	1	2	1
am0123	0	0	0	0	0	0	0	1	2	3	5	0	0	3	4	5
am0124	0	0	0	0	0	0	2	4	4	4	8	5	2	4	9	7
am0125	0	0	0	0	0	0	1	1	3	1	2	7	5	3	7	2
am0126	0	0	0	0	0	0	0	2	2	3	0	0	0	2	0	3
am0127	0	0	0	0	0	0	0	3	3	3	2	5	0	3	7	3
am0128	0	0	0	0	0	0	3	4	7	5	9	4	6	10	9	15
am0129	0	0	0	0	0	0	2	2	4	2	0	4	2	5	6	3
am0130	0	0	0	0	0	0	2	0	2	0	3	1	2	3	3	7
am0131	0	0	0	0	0	0	2	2	4	2	2	6	3	5	7	6
am0132	0	0	0	0	0	0	5	6	6	6	1	1	5	6	3	9
am0134	0	0	0	0	0	0	4	5	3	5	1	5	5	3	3	10
am0135	0	0	0	0	0	0	2	1	2	4	4	3	2	3	2	8
am0136	0	0	0	0	0	0	5	4	4	4	5	5	11	7	8	8
am0137	0	0	0	0	0	0	0	1	3	1	4	2	0	3	3	3
am0138	0	0	0	0	0	0	0	6	4	6	3	0	4	5	4	7
