	0	1	2	3	4	5	6	7	8	9	10	11	12	13
am0001	0	0	0	0	0	0	2	2	2	3	2	2	4	4
am0002	0	0	0	0	0	0	4	8	8	8	7	11	8	21
am0003	0	0	0	0	0	0	2	2	2	2	4	0	2	1
am0004	0	0	0	0	0	0	2	0	2	0	2	1	0	0
am0005	0	0	0	0	0	0	1	0	0	0	1	2	0	2
am0006	0	0	0	0	0	0	1	1	1	1	1	4	2	4
am0007	0	0	0	0	0	0	4	5	6	3	6	3	4	3
am0008	0	0	0	0	0	0	1	1	1	3	2	2	3	8
am0009	0	0	0	0	0	0	4	5	6	5	5	4	7	7
am0010	0	0	0	0	0	0	2	1	3	1	2	5	1	6
am0011	0	0	0	0	0	0	4	3	3	6	5	5	9	10
am0012	0	0	0	0	0	0	1	0	0	0	1	0	0	0
am0013	0	0	0	0	0	0	2	4	4	3	2	3	3	4
am0014	0	0	0	0	0	1	3	5	6	1	4	6	1	4
am0015	0	0	0	0	0	0	4	2	4	0	4	3	2	1
am0016	0	0	0	0	0	0	2	1	1	4	2	2	5	4
am0017	0	0	0	0	0	0	0	0	0	1	0	0	1	1
am0018	0	0	0	0	0	0	1	3	3	10	2	6	10	17
am0019	0	0	0	0	0	0	0	0	0	0	0	0	0	0
am0020	0	0	0	0	0	0	0	0	0	1	0	6	2	7
am0021	1	0	0	0	0	0	11	11	16	20	17	9	22	25
am0022	0	0	0	0	0	0	2	5	5	2	4	2	3	3
am0023	0	0	0	0	0	1	3	2	2	6	4	5	8	11
am0024	0	0	0	0	0	0	0	0	0	1	0	2	1	3
am0025	0	0	0	0	0	0	1	0	0	5	2	7	5	11
am0026	0	0	0	0	0	0	3	0	0	6	3	9	6	14
am0027	0	0	0	0	0	0	2	4	4	3	2	5	4	6
am0028	0	0	0	0	0	0	0	3	3	3	1	4	3	7
am0029	0	0	0	0	0	0	1	1	2	4	2	4	4	8
am0030	0	0	0	0	0	0	5	9	10	6	6	7	6	10
am0031	0	0	0	0	0	0	4	0	0	7	4	4	7	11
am0039	0	0	0	0	0	0	5	4	8	5	8	9	10	18
am0051	0	0	0	0	0	0	4	0	1	2	5	13	4	14
am0052	0	0	0	0	0	0	0	0	0	4	0	3	4	7
am0053	0	0	0	0	0	0	1	1	1	2	1	10	3	10
am0054	0	0	0	0	0	0	0	0	0	0	0	2	0	1
am0055	0	0	0	1	0	0	0	1	1	2	0	2	2	3
am0056	0	0	0	0	0	0	4	9	11	9	6	5	11	14
am0057	0	0	0	0	0	0	5	3	4	13	5	9	13	16
am0058	0	0	0	0	0	0	0	0	0	4	0	4	4	10
am0059	0	0	0	0	0	0	2	2	2	6	4	6	10	12
am0060	0	0	0	0	0	0	2	0	1	2	2	2	2	4
am0061	0	0	0	0	0	0	1	4	5	6	4	6	6	6
am0062	0	0	0	0	0	0	1	1	1	4	1	2	4	5
am0063	0	0	0	0	0	0	4	7	9	5	5	4	5	7
am0064	0	0	0	0	0	0	3	2	2	5	3	8	7	12
am0065	0	0	0	0	0	0	5	3	3	13	5	14	17	25
am0066	0	0	0	0	0	0	2	1	1	2	3	4	4	5
am0067	0	0	0	0	0	0	1	0	0	0	1	2	1	2
am0068	0	0	0	0	0	0	4	2	3	3	6	6	5	9
am0069	0	0	0	0	0	0	2	5	7	5	5	10	6	14
am0070	0	0	0	0	0	0	1	1	1	3	1	7	3	9
am0071	0	0	0	0	0	0	0	1	1	5	0	0	5	5
am0072	0	0	0	0	0	0	1	1	1	2	1	2	2	1
am0073	0	0	0	0	0	0	2	3	3	6	7	8	8	13
am0074	0	0	0	0	0	0	3	1	1	2	3	2	3	2
am0075	0	0	0	0	0	0	0	0	0	0	0	0	0	0
am0076	0	0	0	0	0	0	3	0	0	6	3	6	8	11
am0077	0	0	0	0	0	0	4	0	0	4	4	1	4	8
am0078	0	0	0	0	0	0	0	0	0	0	0	0	0	0
am0079	0	0	0	0	0	0	0	1	1	0	1	4	0	4
am0080	0	0	0	0	0	0	2	2	3	1	2	2	1	2
am0081	0	0	0	0	0	0	3	1	1	6	6	10	6	13
am0082	0	0	0	0	0	0	2	0	0	1	2	5	3	4
am0083	0	0	0	0	0	0	1	1	1	1	1	2	1	2
am0084	0	1	0	0	0	0	0	2	2	1	2	1	1	2
am0085	0	0	0	0	0	0	1	1	1	1	1	2	1	2
am0086	0	0	0	0	0	0	2	0	0	1	2	0	2	0
am0087	0	0	0	0	0	0	1	2	3	0	2	1	0	0
