	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98
am0001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	3	2	4	0	0	1	1	2	0	0	1	1	0	0	0	1	1	0	0	3	2	3	3	0	0	1	0	0	0	1	5	5	0	4	0	0	1	2	1	0	2	0	1	1	2	5	2	3	2	5	0	0	1	0	0	3	3	2	7	3	9	6	3	8	18
am0002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	4	5	1	5	2	2	5	1	4	3	5	1	1	2	2	5	4	7	2	1	4	4	2	3	5	1	2	4	4	2	2	4	4	5	3	2	4	11	6	7	4	4	4	11	9	10	2	6	1	7	3	6	9	10	8	3	11	8	12	14	7	12	5	46
am0003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	5	3	1	1	12	5	3	6	8	3	3	1	2	8	4	3	5	8	5	5	4	1	3	1	0	0	4	4	4	3	5	7	3	7	1	0	4	7	2	12	12	8	2	10	6	4	3	8	0	0	11	9	2	6	6	9	6	13	17	7	9	28
am0004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	16	8	8	4	4	19	9	3	15	14	9	9	9	1	20	7	4	9	6	8	8	10	9	12	13	11	7	9	12	12	15	8	13	4	12	7	5	15	18	11	14	14	13	10	14	16	12	22	17	12	8	22	33	7	22	18	20	18	21	27	14	27	85
am0005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	3	1	3	0	0	4	1	0	3	2	0	0	1	1	4	0	3	2	2	2	2	0	0	1	1	1	3	0	3	3	1	4	2	1	1	3	1	0	6	3	3	3	5	1	8	6	4	0	2	1	2	0	3	5	6	2	2	2	13	2	6	9	25
am0006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	1	1	1	1	0	0	0	3	0	0	0	0	1	2	0	0	0	2	0	2	0	1	1	1	0	0	2	0	3	2	0	0	0	0	4	0	1	5	6	0	0	0	0	0	3	3	2	4	2	3	4	1	2	0	0	4	6	4	1	0	2	3	4	2	17
am0007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	6	8	2	7	2	2	7	1	3	2	5	1	1	2	4	5	4	3	5	3	4	4	4	4	6	2	2	6	4	10	10	4	3	2	5	2	5	4	6	6	2	1	1	8	1	7	7	7	7	3	5	9	8	9	6	11	7	17	6	16	10	8	21	48
am0008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	4	2	5	1	1	3	4	2	5	1	2	2	5	6	2	4	4	0	1	3	3	3	5	1	6	4	6	7	2	2	7	4	2	2	1	6	8	4	5	7	2	2	1	11	5	5	6	4	3	6	11	4	6	12	7	1	21	12	10	7	13	6	40
am0009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	2	1	4	1	1	3	0	1	0	0	2	2	0	2	0	0	3	3	1	1	1	3	2	0	0	0	4	1	2	2	1	2	4	0	1	2	2	1	0	1	0	0	2	4	1	1	5	2	4	4	6	5	4	5	2	1	3	6	4	5	9	3	13
am0010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	5	2	0	3	3	8	4	2	4	3	1	1	1	1	6	5	1	1	2	5	5	2	2	4	2	1	5	5	4	4	2	2	9	7	7	6	3	7	3	3	10	10	7	6	7	9	2	18	11	4	5	10	6	6	9	12	12	10	9	11	9	12	44
