	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87
am0001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	4	4	1	1	1	3	1	2	2	3	3	2	2	4	2	3	3	4	1	1	2	3	2	3	5	4	1	3	3	6	4	6	5	1	1	1	1	4	4	2	4	3	6	1	7	6	4	4	1	8	1	10	1	6	6	1	60
am0002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	2	2	1	1	0	1	0	1	1	2	2	1	1	2	0	3	3	1	1	1	5	2	1	4	3	1	1	3	2	4	2	4	3	6	2	2	2	3	3	1	2	3	4	5	3	0	4	4	6	5	2	6	2	4	4	3	38
am0003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	2	1	0	0	2	2	2	2	2	1	2	0	2	1	2	2	0	2	0	2	2	0	8	2	2	2	0	0	0	2	4	4	0	3	0	3	3	10	4	2	2	2	4	1	2	25
am0004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	2	2	0	1	1	1	1	1	0	0	0	0	0	4	1	1	1	1	0	0	1	4	3	1	0	2	1	4	0	1	1	1	1	5	5	2	1	1	1	1	1	1	6	6	2	1	3	4	0	2	5	3	17
am0005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	3	2	2	6	0	0	3	0	0	1	6	6	4	3	3	1	4	4	4	3	3	8	4	0	4	7	4	3	5	5	6	5	5	4	2	3	3	3	3	3	2	7	2	6	7	5	5	12	12	2	6	8	7	8	5	7	10	71
am0006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	8	8	7	7	11	11	13	13	10	10	10	22	22	7	5	9	8	4	4	12	17	17	13	14	15	6	26	17	18	16	12	21	12	20	14	18	17	17	17	20	20	17	18	23	19	21	16	24	24	24	26	22	27	30	27	32	34	37	308
am0007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	9	16	20	20	10	6	10	16	5	15	15	17	17	10	26	12	17	18	18	26	14	14	13	13	10	22	25	27	20	41	32	35	20	39	20	34	41	41	41	36	36	26	20	34	49	51	46	40	30	30	48	65	43	50	42	47	53	58	465
am0008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	18	25	35	35	32	17	25	28	29	21	21	19	19	18	23	20	30	35	35	34	34	34	37	26	35	43	32	39	39	25	38	32	33	33	24	28	30	30	30	34	34	28	32	40	30	33	59	31	64	64	33	41	54	53	61	63	56	76	572
am0009	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	18	16	31	31	29	17	19	16	22	23	24	24	24	20	31	29	20	35	35	25	18	18	36	29	28	46	36	28	27	45	46	23	29	52	47	54	64	64	64	52	52	40	40	59	64	65	75	69	58	58	81	70	85	75	77	90	80	106	635
am0010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	9	22	25	15	7	14	9	12	9	9	30	30	13	20	21	17	20	20	11	14	14	20	25	13	27	32	14	19	26	28	32	20	45	39	48	49	49	49	20	20	13	35	34	39	39	47	39	43	43	66	48	52	62	55	48	45	70	494
