	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72
am0001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	4	3	5	1	4	5	5	5	4	5	5	4	2	9	5	2	7	7	6	3	8	5	5	2	2	6	6	6	8	5	2	3	9	5	9	9	11	6	2	4	9	7	3	6	6	7	143
am0002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	1	1	1	0	0	3	3	2	1	3	2	8	2	1	4	3	3	5	1	2	1	1	7	6	2	2	3	1	2	5	3	3	6	4	3	7	1	7	2	2	4	10	8	3	11	83
am0003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3	3	0	1	1	0	6	1	1	2	2	2	2	0	2	4	4	10	3	2	2	3	1	0	8	2	0	7	2	1	1	1	4	2	4	0	8	0	3	8	71
am0004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	3	7	4	3	3	2	2	3	0	3	5	3	2	7	6	7	7	6	8	3	2	2	3	6	1	1	7	1	5	2	7	2	6	7	3	6	5	7	5	2	4	5	4	9	7	108
am0005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	6	7	6	1	2	6	5	5	4	6	6	2	11	1	9	6	5	5	5	6	8	5	5	2	5	6	6	3	7	2	6	2	3	7	7	4	4	9	8	4	10	9	13	6	4	17	157
am0006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	11	6	5	14	10	9	11	16	16	15	11	9	12	13	22	14	30	19	19	19	13	17	8	8	16	18	14	14	24	14	13	12	28	25	23	25	39	26	26	22	19	14	21	18	20	31	21	456
am0007	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	27	21	27	28	27	22	19	19	34	28	32	33	36	38	33	29	41	41	38	35	30	32	32	45	38	35	35	44	39	42	44	45	41	31	53	49	58	44	44	57	48	56	42	62	59	56	889
am0008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	14	30	19	19	24	21	25	22	22	14	29	39	27	32	26	26	37	28	28	34	30	32	33	33	23	30	34	34	44	48	33	32	40	39	36	35	30	37	49	45	53	47	43	45	33	52	64	862
am0009	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	29	32	30	34	28	34	49	41	41	55	32	57	61	53	54	46	45	61	61	56	38	55	53	53	76	73	64	64	65	49	74	70	90	75	74	75	71	86	51	86	70	93	78	85	104	101	100	1578
am0010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	10	28	25	20	29	23	15	34	34	38	38	29	29	48	52	37	34	34	34	21	42	28	44	44	41	33	40	40	45	50	36	46	55	52	54	47	61	52	63	41	47	62	63	66	69	66	83	1125
am0011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	11	13	5	6	9	11	2	2	21	5	18	16	17	19	14	17	9	9	9	18	11	3	3	24	14	4	4	8	10	17	21	16	16	9	10	25	13	11	19	4	7	28	24	27	17	29	288
am0012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	5	6	8	5	5	5	6	6	5	6	7	6	10	11	8	12	5	5	9	9	8	7	7	2	7	10	10	4	6	8	8	9	7	7	10	13	4	15	8	6	12	13	13	5	11	14	227
am0013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	14	3	20	15	22	12	17	23	23	24	16	10	21	21	27	26	25	23	23	24	29	24	20	20	28	25	29	29	24	23	25	32	27	34	34	29	31	29	39	34	19	37	24	34	56	33	31	660
am0014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	11	10	14	16	15	11	13	14	14	18	19	14	11	12	30	23	28	22	22	27	19	18	27	27	16	22	27	27	23	19	18	18	26	35	19	31	40	26	28	25	36	32	31	19	29	33	25	581
am0015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	4	3	9	8	3	5	5	8	8	9	7	6	11	4	15	10	3	12	12	7	10	5	11	11	21	11	6	6	15	9	12	12	19	8	10	12	14	14	8	12	19	8	12	7	12	23	9	218
am0016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	5	3	6	7	13	8	19	19	14	13	10	14	16	25	7	23	11	11	20	11	13	24	24	15	16	27	27	15	18	17	17	16	29	26	13	33	21	21	20	22	38	16	20	16	21	21	500
am0017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	2	0	3	2	5	7	7	15	6	6	4	7	2	2	6	2	2	7	3	8	4	4	5	3	3	3	5	7	4	3	6	5	13	2	4	4	11	4	7	4	10	9	11	7	12	154
am0018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	6	7	9	6	17	6	14	15	15	7	9	12	7	14	14	12	8	16	16	9	18	17	15	15	18	17	19	19	16	10	11	21	19	16	20	18	15	18	18	18	15	22	13	29	28	22	32	410
am0019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
am0020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	1	4	5	9	8	2	3	3	3	8	2	7	4	1	6	4	5	5	4	11	2	3	3	7	8	2	2	4	11	10	6	4	2	5	7	3	12	14	9	5	3	2	9	10	6	9	120
am0021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	5	4	12	12	3	5	4	6	6	5	6	8	6	10	11	13	6	7	7	8	8	6	7	7	12	7	9	9	8	8	7	9	9	13	8	14	11	11	7	14	9	11	14	12	16	11	15	204
am0022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11	5	15	12	17	9	11	5	5	9	17	12	13	23	13	20	20	20	20	21	23	13	25	25	12	20	28	28	25	19	17	17	27	19	14	24	18	22	31	27	17	29	18	28	18	31	26	489
am0023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	3	5	6	4	6	2	2	12	4	6	3	2	5	5	2	5	5	7	7	7	3	3	9	2	1	1	10	6	6	4	7	4	5	8	5	9	9	2	10	2	12	6	8	10	7	135
am0024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	6	2	2	2	4	2	2	2	7	4	8	5	2	4	2	1	1	1	4	2	2	5	5	2	4	5	5	5	6	7	3	5	7	3	3	5	4	4	4	7	7	11	5	5	6	11	99
am0025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	10	12	5	5	9	12	8	5	5	9	16	17	15	23	18	8	22	17	17	15	14	10	15	15	11	19	17	17	12	20	22	20	11	15	16	18	29	18	23	22	12	20	20	28	13	17	32	397
am0026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	6	8	4	7	3	12	13	13	6	3	17	14	14	7	8	12	13	13	14	8	19	6	6	14	18	10	10	12	4	16	14	12	13	19	16	10	19	11	21	19	12	14	17	20	14	23	323
am0027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	10	13	7	9	6	7	18	7	7	8	9	18	10	15	21	10	14	13	13	18	10	18	11	11	15	16	9	9	13	13	13	20	18	21	25	16	27	21	16	20	14	15	26	28	23	19	36	404
am0028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	9	4	2	3	5	4	4	6	6	1	4	13	9	10	3	4	4	3	8	6	7	7	3	8	4	4	11	6	7	13	9	8	6	6	12	7	11	11	13	5	4	14	6	11	10	141
am0029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	3	4	10	5	6	8	8	14	12	10	7	9	10	6	15	13	13	8	10	8	15	15	8	10	10	10	10	12	8	13	13	13	15	16	16	10	17	11	9	18	24	12	22	15	19	310
am0030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	24	16	16	16	14	17	14	23	23	27	18	18	30	21	36	21	23	23	23	27	20	21	20	20	26	25	26	26	34	29	33	25	39	43	37	28	41	35	27	38	46	35	39	34	40	47	44	727
am0031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	11	14	14	17	11	15	13	24	24	15	9	20	25	14	31	22	16	23	23	17	14	20	28	28	17	17	28	28	23	25	32	18	28	29	32	32	36	30	23	20	27	35	30	23	25	32	32	601
am0039	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	10	15	15	20	9	12	14	14	13	13	15	10	34	22	23	25	17	17	24	26	16	12	12	17	18	19	19	21	15	12	31	23	23	20	27	27	14	28	24	17	23	21	41	25	30	40	518
am0051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	3	8	8	6	9	10	11	11	11	12	6	12	12	16	9	19	17	17	16	16	13	7	7	13	20	10	10	16	16	15	13	10	20	19	22	24	23	16	25	13	13	10	19	28	22	21	350
am0052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	9	18	14	12	11	8	14	14	22	14	12	12	17	18	24	6	15	15	5	19	10	10	10	21	11	11	11	13	19	17	16	17	20	28	22	23	11	20	14	24	16	28	30	41	24	36	424
am0053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	13	11	10	7	11	10	19	19	11	17	17	11	19	23	15	16	17	17	12	13	15	14	14	21	12	15	15	24	18	18	23	26	24	28	20	29	25	28	13	25	22	21	29	21	32	40	505
am0054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	4	3	3	4	2	16	10	10	4	2	7	5	16	11	4	6	9	9	5	5	18	11	11	10	8	7	7	13	3	6	19	15	10	11	10	14	12	4	8	14	9	13	17	14	16	16	232
am0055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	3	6	1	4	5	6	6	5	5	4	2	10	5	6	7	9	9	8	1	5	7	7	10	4	12	12	9	6	4	5	9	7	10	12	10	9	4	4	11	12	7	11	16	11	15	190
am0056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	3	7	10	3	4	6	6	6	8	4	6	10	8	3	13	5	10	10	13	4	7	8	8	9	15	8	8	19	6	12	18	14	6	6	14	5	21	7	20	16	12	9	11	13	19	10	223
am0057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	11	15	11	8	16	16	31	23	23	17	34	27	23	29	27	12	23	18	18	28	20	36	23	23	28	29	27	27	29	38	31	30	34	38	30	24	39	41	43	37	31	34	32	37	38	41	39	730
am0058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	13	6	10	11	9	3	12	16	16	18	12	13	5	24	18	15	12	9	9	13	13	15	5	5	27	14	12	12	23	13	7	32	24	23	28	17	27	17	18	17	20	14	19	38	25	31	36	451
am0059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	4	11	10	11	7	8	11	11	12	14	8	9	26	12	16	23	15	15	25	17	10	17	17	19	14	17	17	14	16	11	28	19	18	16	21	20	18	21	16	20	23	16	31	28	22	26	430
