	0	1	2	3	4	5	6	7
am0001	0	0	0	0	0	0	0	0
am0002	0	0	0	0	0	0	0	0
am0003	0	0	0	0	0	0	0	0
am0004	0	0	0	0	0	0	0	0
am0005	0	0	0	0	0	0	0	0
am0006	0	0	0	0	0	0	0	0
am0007	0	0	0	0	0	0	0	0
am0008	0	0	0	0	0	0	0	0
am0009	0	0	0	0	0	0	0	0
am0010	0	0	0	0	0	0	0	0
am0011	0	0	0	0	0	0	0	0
am0012	0	0	0	0	0	0	0	0
am0013	0	0	0	0	0	0	0	0
am0014	0	0	0	0	0	0	0	0
am0015	0	0	0	0	0	0	0	0
am0016	0	0	0	0	0	0	0	0
am0017	0	0	0	0	0	0	0	0
am0018	0	0	0	0	0	0	0	0
am0019	0	0	0	0	0	0	0	0
am0020	0	0	0	0	0	0	0	0
am0021	0	0	0	0	0	0	0	0
am0022	0	0	0	0	0	0	0	0
am0023	0	0	0	0	0	0	0	0
am0024	0	0	0	0	0	0	0	0
am0025	0	0	0	0	0	0	0	0
am0026	0	0	0	0	0	0	0	0
am0027	0	0	0	0	0	0	0	0
am0028	0	0	0	0	0	0	0	0
am0029	0	0	0	0	0	0	0	0
am0030	0	0	0	0	0	0	0	0
am0031	0	0	0	0	0	0	0	0
am0039	0	0	0	0	0	0	0	0
am0051	0	0	0	0	0	0	0	0
am0052	0	0	0	0	0	0	0	0
am0053	0	0	0	0	0	0	0	0
am0054	0	0	0	0	0	0	0	0
am0055	0	0	0	0	0	0	0	0
am0056	0	0	0	0	0	0	0	0
am0057	0	0	0	0	0	0	0	0
am0058	0	0	0	0	0	0	0	0
am0059	0	0	0	0	0	0	0	0
am0060	0	0	0	0	0	0	0	0
am0061	1	1	1	2	0	0	3	0
am0062	0	0	0	0	0	0	0	0
am0063	0	0	0	0	0	0	0	0
am0064	0	0	0	0	0	0	0	0
am0065	0	0	0	0	0	0	0	0
am0066	0	0	0	0	0	0	0	0
am0067	0	0	0	0	0	0	0	0
am0068	0	0	0	0	0	0	0	0
am0069	0	0	0	0	0	0	0	0
am0070	0	0	0	0	0	0	0	0
am0071	0	0	0	0	0	0	0	0
am0072	0	0	0	0	0	0	0	0
am0073	0	0	0	0	0	0	0	0
am0074	0	0	0	0	0	0	0	0
am0075	0	0	0	0	0	0	0	0
am0076	0	0	0	0	0	0	0	0
am0077	0	0	0	1	4	2	1	0
am0078	0	0	0	0	0	0	0	0
am0079	0	0	0	0	0	0	0	0
am0080	0	0	0	0	0	0	0	0
am0081	0	0	0	0	0	0	0	0
am0082	0	0	0	0	0	0	0	0
am0083	0	0	0	0	0	0	0	0
am0084	0	0	0	0	0	0	0	0
am0085	0	0	0	0	0	0	0	0
am0086	0	0	0	0	0	0	0	0
am0087	0	0	0	0	0	0	0	0
am0088	0	0	0	0	0	0	0	0
am0089	0	0	0	0	0	0	0	0
am0090	0	0	0	0	0	0	0	0
am0091	0	0	0	0	0	0	0	0
am0092	0	0	0	0	0	0	0	0
am0093	0	0	0	0	0	0	0	0
am0094	0	0	0	0	0	0	0	0
am0095	0	0	0	0	0	0	0	0
am0096	0	0	0	0	0	0	0	0
am0097	0	0	0	0	0	0	0	0
am0098	0	0	0	0	0	0	0	0
am0099	0	0	0	0	0	0	0	0
am0100	0	0	0	0	0	0	0	0
am0101	0	0	0	0	0	0	0	0
am0102	0	0	0	0	0	0	0	0
am0103	0	0	0	0	0	0	0	0
am0104	0	0	0	0	0	0	0	0
am0105	0	0	0	0	0	0	0	0
am0106	0	0	0	0	0	0	0	0
am0107	0	0	0	0	0	0	0	0
am0108	0	0	0	0	0	0	0	0
am0109	0	0	0	0	0	0	0	0
am0110	0	0	0	0	0	0	0	0
am0111	0	0	0	0	0	0	0	0
am0112	0	0	0	0	0	0	0	0
am0113	0	0	0	0	0	0	0	0
am0114	0	0	0	0	0	0	0	0
am0115	0	0	0	0	0	0	0	0
am0116	0	0	0	0	0	0	0	0
am0117	0	0	0	0	0	0	0	0
am0118	0	0	0	0	0	0	0	0
am0119	0	0	0	0	0	0	0	0
am0120	0	0	0	0	0	0	0	0
am0121	0	0	0	0	0	0	0	0
am0122	0	1	0	0	0	2	1	4
am0123	0	0	0	0	0	0	0	0
am0124	0	0	0	0	0	0	0	0
am0125	0	0	0	0	0	0	0	0
am0126	0	0	0	0	0	0	0	0
am0127	0	0	0	0	0	0	0	0
am0128	0	0	0	0	0	0	0	0
am0129	0	0	0	0	0	0	0	0
am0130	0	0	0	0	0	0	0	0
am0131	0	0	0	0	0	0	0	0
am0132	0	0	0	0	0	0	0	0
am0134	0	0	0	0	0	0	0	0
am0135	0	0	0	0	0	0	0	0
am0136	0	0	0	0	0	0	0	0
am0137	0	0	0	0	0	0	0	0
am0138	0	0	0	0	0	0	0	0
am0139	0	0	0	0	0	0	0	0
am0140	0	0	0	0	0	0	0	0
am0141	0	0	0	0	0	0	0	0
am0142	0	0	0	0	0	0	0	0
am0143	0	0	0	0	0	0	0	0
am0146	0	0	0	0	0	0	0	0
