	pvalue	qvalue	Weighted time diff	firstpresence	neworder	SP_y
0	0.6971830985915493	1.0	-28.57950530035336	113	0	SP18
1	0.5504818383988139	1.0	6.420494699646639	98	1	SP1
2	0.28971369623704685	1.0	27.087161366313296	136	2	SP0
3	0.2810440892525183	1.0	0.420494699646639	124	3	SP15
4	0.4766510713607931	1.0	9.920494699646639	110	4	SP4
5	0.18770468511582072	1.0	24.22049469964665	110	5	SP11
6	0.0008563107634072639	0.0	56.087161366313296	188	6	SP7
7	0.143939729381584	1.0	19.29549469964664	114	7	SP13
8	0.11657600172908088	1.0	22.19827247742441	114	8	SP5
9	0.07402189660113144	1.0	22.602312881464826	87	9	SP16
10	0.0035466375758502317	0.0	41.78413106328301	148	10	SP6
11	0.17338574739663293	1.0	22.337161366313296	98	11	SP8
12	0.49010034049725115	1.0	-7.66283863368669	87	12	SP3
13	0.3794913535479411	1.0	10.2776375567895	87	13	SP2
14	0.14813756099758726	1.0	10.820494699646645	109	14	SP10
15	0.11002928619698323	1.0	19.302847640823103	98	15	SP9
16	0.03652322129343515	1.0	11.599066128218055	109	16	SP20
