	0	1	2	3	4	5	6	7	8
am0001	0	0	2	0	2	4	3	1	3
am0002	0	1	1	1	0	4	2	3	3
am0003	0	1	3	0	5	2	2	0	2
am0004	0	0	0	0	0	0	0	0	0
am0005	0	0	0	0	0	0	0	0	0
am0006	0	3	1	0	1	1	1	3	5
am0007	0	2	2	5	2	0	3	0	1
am0008	0	1	1	3	3	1	3	1	2
am0009	0	2	3	2	0	2	3	1	2
am0010	0	1	1	2	2	2	0	4	3
am0011	0	0	0	0	1	1	8	0	5
am0012	0	0	0	0	0	0	0	0	0
am0013	0	0	3	1	1	4	0	1	5
am0014	1	3	3	1	3	0	1	2	1
am0015	0	1	2	5	3	0	0	3	1
am0016	0	0	1	1	4	4	1	1	3
am0017	0	0	0	0	0	0	0	0	0
am0018	0	0	1	1	1	4	4	1	3
am0019	0	0	0	0	0	0	0	0	0
am0020	0	0	0	0	0	0	2	5	8
am0021	0	0	2	3	1	3	2	1	3
am0022	0	0	1	4	3	0	2	1	4
am0023	0	2	1	1	2	1	1	4	3
am0024	0	0	0	0	0	0	0	0	0
am0025	0	0	0	0	0	1	3	4	7
am0026	0	1	0	0	1	5	1	3	4
am0027	0	1	4	2	1	0	0	3	4
am0028	0	0	2	1	1	4	1	4	2
am0029	0	0	1	2	2	3	2	2	3
am0030	0	0	4	5	0	4	0	0	2
am0031	0	3	0	0	2	4	1	1	4
am0039	0	2	0	1	2	2	2	1	5
am0051	0	2	0	1	2	0	1	1	8
am0052	0	0	0	0	0	4	3	3	5
am0053	0	0	0	0	1	0	1	10	3
am0054	0	0	0	0	0	0	0	0	0
am0055	0	0	0	0	0	0	0	0	0
am0056	0	0	3	1	2	0	2	2	5
am0057	0	0	0	0	0	4	4	0	7
am0058	0	0	0	0	0	4	2	1	8
am0059	0	1	2	1	0	1	4	2	4
am0060	0	2	0	0	3	4	0	2	4
am0061	0	0	0	4	4	0	1	3	3
am0062	0	0	1	1	1	3	1	2	6
am0063	0	0	5	2	2	2	3	0	1
am0064	0	2	1	0	1	3	2	1	5
am0065	0	1	0	1	0	3	2	4	4
am0066	0	2	0	1	3	2	4	3	0
am0067	0	0	0	0	0	0	0	0	0
am0068	0	1	0	1	2	3	3	4	1
am0069	0	1	2	1	0	1	2	3	5
am0070	0	1	0	0	2	3	3	4	2
am0071	0	0	1	1	0	5	5	0	3
am0072	0	0	0	0	0	0	0	0	0
am0073	0	0	0	2	4	4	1	3	1
am0074	0	5	0	0	2	0	5	1	2
am0075	0	0	0	0	0	0	0	0	0
am0076	0	0	0	0	1	2	1	6	5
am0077	0	2	0	0	1	1	7	0	4
am0078	0	0	0	0	0	0	0	0	0
am0079	0	0	0	0	0	0	0	0	0
am0080	0	2	0	7	0	2	1	1	2
am0081	0	0	1	1	2	4	0	4	3
am0082	0	1	0	0	2	2	3	4	3
am0083	0	0	0	0	0	0	0	0	0
am0084	0	0	0	0	0	0	0	0	0
am0085	0	0	0	0	0	0	0	0	0
am0086	0	0	0	0	0	0	0	0	0
am0087	0	0	0	0	0	0	0	0	0
am0088	0	0	0	0	0	0	0	0	0
am0089	0	0	0	2	2	1	0	7	3
am0090	0	0	0	0	0	0	0	0	0
am0091	0	2	0	0	3	3	1	2	4
am0092	0	0	0	0	0	0	0	0	0
am0093	0	0	0	0	0	0	0	0	0
am0094	0	0	0	0	1	5	2	3	4
am0095	0	2	0	0	0	2	2	7	2
am0096	0	2	1	1	5	0	2	3	1
am0097	0	3	0	0	4	3	1	0	4
am0098	0	0	0	0	0	0	0	0	0
am0099	0	1	1	0	3	1	2	2	5
am0100	0	0	0	0	0	0	0	0	0
am0101	0	0	0	0	0	0	0	0	0
am0102	0	0	1	2	0	0	0	6	6
am0103	0	3	2	3	0	1	2	4	0
am0104	0	0	0	0	0	0	0	0	0
am0105	0	1	0	2	3	0	4	2	3
am0106	0	1	1	2	1	3	0	3	4
am0107	0	0	3	3	2	1	1	3	2
am0108	0	1	4	5	0	1	2	1	1
am0109	0	0	4	1	3	1	4	0	2
am0110	0	3	0	3	1	3	2	1	2
am0111	0	0	0	0	0	0	0	0	0
am0112	0	2	1	3	1	2	2	0	4
am0113	0	1	1	2	3	1	2	3	2
am0114	0	0	0	4	0	0	2	3	6
am0115	0	2	1	2	2	3	1	2	2
am0116	0	1	1	1	4	2	1	2	3
am0117	0	0	0	0	3	4	4	1	3
am0118	0	3	0	0	3	4	2	2	1
am0119	0	0	1	4	1	4	1	1	3
am0120	0	2	0	0	4	5	2	1	1
am0121	0	1	0	1	1	4	2	4	2
am0122	0	1	1	2	4	3	1	1	2
am0123	0	0	3	3	1	0	1	3	4
am0124	0	1	1	4	2	3	3	1	0
am0125	0	0	2	0	1	2	0	5	5
am0126	0	1	2	3	4	3	2	0	0
am0127	0	1	4	2	2	2	2	1	1
am0128	0	1	2	2	1	2	1	2	4
am0129	0	0	3	1	0	0	1	4	6
am0130	0	0	0	0	0	0	0	0	0
am0131	0	1	1	1	1	2	3	4	2
am0132	0	0	0	0	3	3	4	1	4
am0134	0	3	0	0	4	2	4	2	0
am0135	0	1	0	0	1	3	5	0	5
am0136	0	0	2	1	2	0	3	2	5
am0137	0	0	2	4	2	1	2	2	2
am0138	0	1	2	2	4	2	0	1	3
am0139	0	2	1	3	3	2	1	0	3
am0140	0	1	0	0	0	7	5	2	0
am0141	0	0	0	0	0	0	0	0	0
am0142	0	2	0	2	3	1	1	1	5
am0143	0	2	0	1	1	2	5	3	1
am0146	0	1	3	4	3	0	1	0	3
am0147	0	3	4	2	2	0	0	1	3
am0148	0	0	3	6	2	0	2	1	1
am0149	0	0	6	3	3	0	0	3	0
am0150	0	1	3	2	3	0	1	3	2
am0151	0	0	0	0	0	0	0	0	0
am0152	0	0	0	0	0	0	0	0	0
am0153	0	0	0	0	0	0	0	0	0
am0155	0	0	3	2	2	1	2	3	2
am0156	0	0	0	1	4	1	4	4	1
am0157	0	3	1	0	2	0	1	4	4
am0158	0	1	0	1	1	2	4	1	5
am0159	0	2	1	1	1	0	0	8	2
am0160	0	2	0	3	0	1	3	4	2
am0161	0	0	0	0	0	0	0	0	0
am0162	0	1	3	1	4	0	1	4	1
am0163	0	0	1	1	1	3	0	6	3
am0164	0	0	4	1	3	0	0	2	5
am0165	0	0	0	0	0	0	0	0	0
am0166	0	2	0	0	0	1	3	0	9
am0167	0	0	0	0	0	0	0	0	0
am0168	0	0	0	0	0	0	0	0	0
am0169	0	1	1	1	3	2	5	1	1
