	0	1	2
am0001	0	0	0
am0002	1	6	2
am0003	0	0	0
am0004	0	0	0
am0005	0	0	0
am0006	0	0	0
am0007	0	0	0
am0008	0	0	0
am0009	3	3	3
am0010	2	4	3
am0011	1	3	5
am0012	0	0	0
am0013	0	0	0
am0014	2	3	4
am0015	0	0	0
am0016	0	0	0
am0017	0	0	0
am0018	0	0	0
am0019	0	0	0
am0020	0	3	6
am0021	1	5	3
am0022	0	5	4
am0023	0	0	0
am0024	0	0	0
am0025	0	0	0
am0026	0	0	0
am0027	0	0	0
am0028	2	5	2
am0029	0	0	0
am0030	4	4	1
am0031	2	3	4
am0039	0	0	0
am0051	0	0	0
am0052	0	0	0
am0053	0	0	0
am0054	0	0	0
am0055	0	0	0
am0056	0	4	5
am0057	0	0	0
am0058	0	0	0
am0059	0	0	0
am0060	0	0	0
am0061	0	2	7
am0062	1	4	4
am0063	0	6	3
am0064	0	4	5
am0065	1	5	3
am0066	0	0	0
am0067	1	4	4
am0068	0	0	0
am0069	0	0	0
am0070	0	0	0
am0071	0	0	0
am0072	0	0	0
am0073	0	0	0
am0074	0	0	0
am0075	0	0	0
am0076	0	0	0
am0077	0	0	0
am0078	0	0	0
am0079	0	6	3
am0080	0	0	0
am0081	1	3	5
am0082	0	0	0
am0083	0	0	0
am0084	0	0	0
am0085	0	0	0
am0086	0	2	7
am0087	0	0	0
am0088	0	0	0
am0089	2	2	5
am0090	0	0	0
am0091	0	0	0
am0092	0	0	0
am0093	0	0	0
am0094	0	0	0
am0095	0	0	0
am0096	0	0	0
am0097	0	0	0
am0098	0	2	7
am0099	0	0	0
am0100	0	0	0
am0101	0	0	0
am0102	0	0	0
am0103	2	2	5
am0104	2	4	3
am0105	0	0	0
am0106	0	5	4
am0107	2	2	5
am0108	2	3	4
am0109	3	4	2
am0110	0	0	0
am0111	0	0	0
am0112	0	0	0
am0113	2	3	4
am0114	0	0	0
am0115	0	0	0
am0116	0	0	0
am0117	0	0	0
am0118	2	0	7
am0119	1	1	7
am0120	1	2	6
am0121	0	0	0
am0122	0	0	0
am0123	2	4	3
am0124	0	0	0
am0125	0	6	3
am0126	0	0	0
am0127	0	0	0
am0128	0	5	4
am0129	0	5	4
am0130	0	0	0
am0131	0	3	6
am0132	0	0	9
am0134	1	0	8
am0135	2	4	3
am0136	2	0	7
am0137	0	0	0
am0138	2	4	3
am0139	1	4	4
am0140	0	3	6
am0141	0	0	0
am0142	5	1	3
am0143	0	5	4
am0146	1	6	2
am0147	0	0	0
am0148	4	0	5
am0149	0	0	0
am0150	4	2	3
am0151	0	0	0
am0152	0	4	5
am0153	0	0	0
am0155	2	1	6
am0156	4	4	1
am0157	0	5	4
am0158	1	2	6
am0159	0	0	0
am0160	4	3	2
am0161	3	0	6
am0162	0	3	6
am0163	0	7	2
am0164	0	0	0
am0165	5	1	3
am0166	0	0	0
am0167	0	0	0
am0168	0	0	0
am0169	1	0	8
am0171	3	3	3
am0172	1	1	7
am0173	0	0	0
am0174	0	0	0
am0175	1	3	5
am0176	2	3	4
am0177	1	3	5
am0178	0	1	8
am0179	2	1	6
am0180	0	0	0
am0181	3	1	5
am0182	0	0	0
am0183	2	4	3
am0184	1	5	3
am0185	0	0	0
am0186	0	4	5
am0187	3	1	5
am0188	0	0	0
am0189	1	3	5
am0190	0	0	0
am0192	2	4	3
am0194	1	4	4
am0195	4	2	3
am0196	1	3	5
am0197	0	0	0
am0198	6	2	1
am0199	3	1	5
am0200	0	0	0
am0201	0	0	0
am0202	0	0	0
am0203	3	1	5
am0204	0	0	0
am0205	5	1	3
am0206	1	3	5
am0207	1	4	4
am0208	3	2	4
am0209	0	4	5
am0210	0	0	0
am0211	0	0	0
am0212	0	0	0
am0213	0	0	0
am0214	0	0	0
am0215	2	3	4
am0216	1	4	4
am0217	0	3	6
am0218	0	2	7
am0219	0	0	0
am0220	0	0	0
am0221	0	0	0
am0222	0	0	0
am0223	3	3	3
am0224	0	0	0
am0225	0	0	0
am0226	8	0	1
am0227	0	5	4
am0228	0	7	2
am0229	0	0	0
am0230	2	2	5
am0231	1	3	5
