	0	1	2	3	4	5	6	7	8	9	10
am0001	0	0	0	0	0	0	0	0	0	0	0
am0002	0	0	0	0	0	0	0	0	0	0	0
am0003	0	0	0	0	0	0	0	0	0	0	0
am0004	0	0	0	0	0	0	0	0	0	0	0
am0005	0	0	0	0	0	0	0	0	0	0	0
am0006	0	0	0	0	0	0	0	0	0	0	0
am0007	1	0	0	0	0	1	0	2	0	3	13
am0008	0	0	0	0	0	0	0	0	0	0	0
am0009	0	0	0	0	0	0	0	0	0	0	0
am0010	0	1	0	0	2	0	0	5	4	5	3
am0011	0	0	1	2	0	1	3	1	6	3	3
am0012	0	0	0	0	0	0	0	0	0	0	0
am0013	0	0	0	0	0	0	0	0	0	0	0
am0014	0	0	0	0	0	0	0	0	0	0	0
am0015	0	0	0	0	0	0	0	0	0	0	0
am0016	0	0	0	1	0	1	0	1	3	4	10
am0017	0	0	0	0	0	0	0	0	0	0	0
am0018	0	0	0	0	0	0	0	1	4	5	10
am0019	0	0	0	0	0	0	0	0	0	0	0
am0020	0	0	0	0	0	0	0	0	0	0	0
am0021	0	1	0	1	1	0	0	1	4	0	12
am0022	0	0	2	0	2	1	7	0	1	4	3
am0023	0	0	0	0	0	0	0	0	0	0	0
am0024	0	0	0	0	0	0	0	0	0	0	0
am0025	0	1	0	0	1	2	2	3	6	3	2
am0026	0	0	0	1	1	4	3	1	0	1	9
am0027	0	2	0	0	0	2	1	3	3	2	7
am0028	0	0	1	0	3	0	1	1	7	6	1
am0029	0	0	0	0	0	0	0	0	0	0	0
am0030	0	0	0	0	0	0	0	0	0	0	0
am0031	0	0	1	0	1	0	0	0	6	7	5
am0039	0	0	0	0	0	0	0	0	0	0	0
am0051	0	0	0	0	3	0	3	0	2	3	9
am0052	0	0	0	0	0	0	0	0	0	0	0
am0053	0	0	0	0	0	0	0	0	0	0	0
am0054	0	0	0	0	0	0	0	0	0	0	0
am0055	0	0	0	0	0	4	1	6	2	5	2
am0056	0	0	0	0	0	0	0	0	0	0	0
am0057	0	0	0	0	1	0	3	3	2	6	5
am0058	0	0	0	0	0	1	4	2	8	4	1
am0059	0	0	0	0	0	0	0	0	0	0	0
am0060	0	5	0	0	1	1	1	0	3	1	8
am0061	0	1	1	2	3	4	0	0	3	1	5
am0062	0	0	0	2	4	2	2	0	3	4	3
am0063	0	0	0	0	0	0	0	0	0	0	0
am0064	0	0	0	0	0	0	0	0	0	0	0
am0065	0	0	0	0	0	0	0	0	0	0	0
am0066	0	0	0	0	0	0	0	0	0	0	0
am0067	0	0	0	0	0	0	0	0	0	0	0
am0068	0	0	0	0	0	0	0	0	0	0	0
am0069	0	0	0	0	0	0	0	0	0	0	0
am0070	0	0	0	0	0	0	0	0	0	0	0
am0071	0	0	0	0	0	0	0	0	0	0	0
am0072	0	0	0	0	0	0	0	0	0	0	0
am0073	0	2	3	3	1	4	1	0	2	1	3
am0074	0	0	0	0	0	0	0	0	0	0	0
am0075	0	0	0	0	0	0	0	0	0	0	0
am0076	0	0	0	0	0	0	0	0	0	0	0
am0077	0	0	0	0	0	0	0	0	0	0	0
am0078	0	0	0	0	0	0	0	0	0	0	0
am0079	0	1	1	0	0	2	3	3	5	2	3
am0080	0	0	0	0	0	0	0	0	0	0	0
am0081	0	0	0	0	2	0	0	0	0	7	11
am0082	0	0	0	0	2	1	0	0	0	4	13
am0083	0	1	0	0	1	1	1	3	6	2	5
am0084	0	1	0	0	1	0	0	1	4	5	8
am0085	0	0	5	0	1	0	6	4	1	0	3
am0086	0	1	0	0	0	0	1	0	0	2	16
am0087	0	0	0	0	0	0	0	0	0	0	0
am0088	0	0	0	0	0	0	0	0	0	0	0
am0089	0	0	0	0	0	0	0	0	0	0	0
am0090	0	0	1	1	1	3	0	4	3	0	7
