	0	1	2	3	4	5	6	7	8	9
am0001	0	0	0	2	0	0	0	2	0	4
am0002	0	0	0	0	0	0	0	0	0	0
am0003	0	0	0	0	0	0	0	0	0	0
am0004	0	0	0	0	0	1	0	0	3	4
am0005	0	0	0	0	0	0	0	0	6	2
am0006	0	0	0	0	0	0	0	2	3	3
am0007	0	0	0	0	1	0	1	0	2	4
am0008	2	0	0	3	0	1	0	1	1	0
am0009	0	0	0	0	0	0	0	0	1	7
am0010	1	1	1	0	2	0	0	2	1	0
am0011	0	0	2	0	0	1	1	0	3	1
am0012	0	1	0	0	0	0	7	0	0	0
am0013	0	0	0	0	0	0	0	0	0	0
am0014	0	0	0	0	0	0	0	0	0	0
am0015	1	0	1	1	0	0	0	1	3	1
am0016	0	0	0	0	1	0	0	0	2	5
am0017	0	0	0	0	0	0	0	0	0	0
am0018	0	0	0	1	0	0	1	1	1	4
am0019	0	0	0	0	0	0	0	0	0	0
am0020	0	0	0	0	0	0	0	0	0	0
am0021	0	0	0	1	0	1	1	0	3	2
am0022	0	0	2	1	0	0	4	1	0	0
am0023	2	0	1	0	1	3	1	0	0	0
am0024	0	3	0	0	0	1	1	0	0	3
am0025	0	0	0	2	3	0	0	2	0	1
am0026	0	0	0	2	0	1	0	0	2	3
am0027	2	0	0	1	1	0	0	1	2	1
am0028	2	0	0	1	1	0	0	4	0	0
am0029	0	3	0	0	2	1	0	1	1	0
am0030	2	0	0	0	0	0	0	0	3	3
am0031	0	0	0	0	1	0	0	4	1	2
am0039	0	0	0	0	0	0	0	0	0	0
am0051	0	0	0	1	0	0	1	0	3	3
am0052	0	0	0	0	0	0	0	0	0	0
am0053	0	1	1	0	0	2	1	0	0	3
am0054	0	2	1	2	0	1	0	2	0	0
am0055	0	0	0	0	0	1	1	1	0	5
am0056	0	0	0	3	1	0	0	3	0	1
am0057	0	0	0	0	1	0	1	2	2	2
am0058	0	1	0	0	0	0	0	3	3	1
am0059	0	0	0	0	1	1	0	1	0	5
am0060	1	0	0	1	1	0	0	1	1	3
am0061	0	0	0	1	0	1	0	1	2	3
am0062	0	0	0	1	0	0	3	2	0	2
am0063	2	0	0	0	0	0	0	0	0	6
am0064	0	0	0	0	0	0	0	0	0	0
am0065	0	0	0	0	0	0	0	0	0	0
am0066	0	0	2	1	0	0	0	0	2	3
am0067	0	0	0	0	0	0	2	0	1	5
am0068	0	0	1	1	1	0	1	1	2	1
am0069	0	0	0	0	0	1	1	5	0	1
am0070	2	0	0	0	1	0	1	0	2	2
am0071	0	0	0	0	0	0	0	0	0	8
am0072	1	0	0	1	0	0	0	4	2	0
am0073	2	1	0	2	0	0	0	0	0	3
am0074	0	0	0	1	0	0	0	1	2	4
am0075	0	0	0	0	0	2	1	0	0	5
am0076	0	0	0	0	0	0	0	0	0	8
am0077	0	1	0	2	1	0	0	2	2	0
am0078	0	2	0	0	0	1	0	0	2	3
am0079	0	0	1	0	0	1	0	4	1	1
am0080	0	0	0	0	0	0	0	0	0	0
am0081	0	0	0	0	0	0	0	0	4	4
am0082	0	0	0	1	0	1	0	0	2	4
am0083	1	0	0	1	1	0	2	1	0	2
am0084	1	2	0	0	0	0	0	0	3	2
am0085	0	1	0	0	1	2	0	3	0	1
am0086	0	0	0	1	2	0	0	0	2	3
am0087	0	0	0	0	0	0	0	0	0	0
am0088	0	0	0	0	0	0	0	0	0	0
am0089	0	2	0	0	0	1	0	1	3	1
am0090	0	0	0	0	0	3	0	2	0	3
am0091	0	0	0	0	0	0	0	0	0	0
am0092	0	1	1	1	1	0	1	0	2	1
am0093	2	0	0	1	1	0	0	2	1	1
am0094	0	1	0	1	2	0	1	0	0	3
am0095	1	1	0	0	2	0	2	1	0	1
am0096	0	1	0	0	0	0	2	3	1	1
am0097	1	0	1	1	0	1	0	1	0	3
am0098	1	0	0	1	3	0	0	1	2	0
am0099	2	0	1	1	1	0	0	2	1	0
am0100	0	1	2	2	0	1	2	0	0	0
am0101	0	0	0	0	0	0	0	0	0	0
am0102	2	0	2	1	1	1	0	0	0	1
am0103	0	0	0	1	1	1	1	1	0	3
am0104	0	1	1	0	1	0	0	3	2	0
am0105	0	0	0	0	0	0	0	0	0	0
am0106	0	1	0	1	0	3	0	0	2	1
am0107	3	0	0	0	1	1	0	1	2	0
am0108	0	2	2	0	0	3	0	0	1	0
am0109	0	0	2	0	2	0	0	4	0	0
am0110	0	0	0	0	1	0	1	0	4	2
am0111	1	0	0	0	0	0	1	1	0	5
am0112	0	0	0	0	1	0	0	2	1	4
am0113	0	0	0	0	3	0	1	1	1	2
am0114	0	0	0	0	1	3	1	2	0	1
am0115	0	0	0	0	0	0	0	0	0	0
am0116	0	0	0	0	1	1	3	0	0	3
am0117	1	0	2	1	0	0	0	2	1	1
am0118	2	0	3	0	0	1	0	0	2	0
am0119	0	0	0	2	1	0	0	1	2	2
am0120	0	0	0	1	0	0	0	0	3	4
am0121	0	0	0	0	3	0	0	1	1	3
