Donor	Species	CL	No.gain	dMRCA	freq	CL donor	No.genome	dmrca	dmrca_stdev	No.SNP	No.crispr	MG_median_depth	MG_name	species	fullname	SP gain	SP gain rate (SP gain/No. SNPs/No.crispr)
D01	BA	BA 71	0	2.25	15	BA 71D01	4.0	2.25	1.258	9.0	2.0			BA	Bifidobacterium_adolescentis	0	0.0
D05	PaDi	PaDi 24	0	10.111	13	PaDi 24D05	9.0	10.111	3.516	14.0	1.1111111111111112			PaDi	Parabacteroides_distasonis	0	0.0
D05	BA	BA 25	0	9.76	97	BA 25D05	25.0	9.76	0.97	19.0	0.7142857142857143			BA	Bifidobacterium_adolescentis	0	0.0
D103	BA	BA 74	1	4.75	10	BA 74D103	4.0	4.75	2.872	14.0	2.0			BA	Bifidobacterium_adolescentis	10	0.35714285714285715
D105	BA	BA 61	0	4.8260000000000005	60	BA 61D105	23.0	4.8260000000000005	1.922	74.0	1.0			BA	Bifidobacterium_adolescentis	0	0.0
D110	PaDi	PaDi 14	0	7.0	6	PaDi 14D110	6.0	7.0	1.789	19.0	1.0			PaDi	Parabacteroides_distasonis	0	0.0
D110	BL	BL 39	0	6.5	31	BL 39D110	6.0	6.5	3.728	15.0	1.0			BL	Bifidobacterium_longum	0	0.0
D110	BA	BA 7	0	8.281	35	BA 7D110	32.0	8.281	2.466	126.0	1.03125			BA	Bifidobacterium_adolescentis	0	0.0
D114	BA	BA 9	1	4.4830000000000005	1	BA 9D114	29.0	4.4830000000000005	1.639	58.0	1.0689655172413792			BA	Bifidobacterium_adolescentis	1	0.016129032258064516
D116	BA	BA 76	0	10.615	70	BA 76D116	13.0	10.615	2.844	68.0	1.0			BA	Bifidobacterium_adolescentis	0	0.0
D14	PaDi	PaDi 8	1	18.206	3	PaDi 8D14	34.0	18.206	1.754	60.0	1.3529411764705883			PaDi	Parabacteroides_distasonis	3	0.03695652173913044
