Species	Donor	CL	No.gain	dMRCA	No.SNP	No.crispr	freq	lower	higher	total_spacer	total_gain	gain_rate	gain_ratio
BA	H17	BA H17_lineage2	1	17.833	41.9991600167997	0.540540540540541	37	31	40	42	37	2.07480513654461	0.880952380952381
BL	D503	BL D503	1	8.333	10.1110774075198	1.33333333333333	2	0	7	42	2	0.240009600384015	0.0476190476190476
BL	D571	BL D571	1	36.808	5.08233380768449	1.2962962962963	52	46	55	57	52	1.41273636166051	0.912280701754386
BA	H37	BA H37	1	49.583	48.5987364328527	0.464285714285714	32	29	32	32	32	0.645382489966319	1
BA	H37	BA H37_lineage3	1	10.75	20	0.464285714285714	31	27	32	32	31	2.88372093023256	0.96875
PaDi	D485	PaDi D485	1	10.737	23.9997257174204	1.1304347826087	2	0	6	15	2	0.186271770513179	0.133333333333333
BA	D466	BA D466_lineage2	1	9.4	16.9999362502391	1	2	0	7	27	2	0.212765957446809	0.0740740740740741
BA	D466	BA D466	1	137.167	126.6213712168	1	4	1	9	27	4	0.029161533021791	0.148148148148148
BA	D466	BA D466_lineage3	1	30.75	47.7836804677179	1	1	0	5	27	1	0.032520325203252	0.037037037037037
BA	H28	BA H28	1	39.286	89.9974286448959	1.76	10	5	18	98	10	0.254543603319249	0.102040816326531
BA	D110	BA D110	1	20.517	23.9995200095998	1.03125	3	1	8	35	3	0.146220207632695	0.0857142857142857
BA	H16	BA H16	1	35.704	87.0105655686762	0.384615384615385	41	37	41	41	41	1.14833071924714	1
BaFr	aa	BaFr aa	1	0	1	1	1	0	5	11	1	Inf	0.0909090909090909
BaSa	am	BaSa am	1	3.619	12.0004800192008	0.821428571428571	1	0	5	30	1	0.276319425255595	0.0333333333333333
ClIn	cx	ClIn cx	1	4.583	5	0.153846153846154	7	4	7	7	7	1.52738380973162	1
BaVu	am	BaVu am	1	9.333	20	0.0930232558139535	6	2	12	60	6	0.642880102860816	0.1
PaDi	H08	PaDi H08	1	9.739	17.2498059396832	0.25	4	2	4	4	4	0.410719786425711	1
BA	D448	BA D448	1	15.333	16.8001344010752	1.07142857142857	12	6	20	80	12	0.782625709254549	0.15
EnDu	am	EnDu am	1	0.956	1	0.213333333333333	5	2	5	5	5	5.23012552301255	1
PaDi	H22	PaDi H22	1	11.529	15.3327200245324	0.173913043478261	12	9	12	12	12	1.04085349986989	1
BL	H16	BL H16	1	3.286	5	0.76	33	25	41	66	33	10.0426049908704	0.5
BA	D103	BA D103	1	6.5	10.9998900011	0.888888888888889	3	1	9	182	3	0.461538461538462	0.0164835164835165
PaDi	H30	PaDi H30	1	3.333	8	0.375	1	0	5	58	1	0.3000300030003	0.0172413793103448
BL	cx	BL cx	1	122.288	226.963231956423	1.01369863013699	4	1	10	55	4	0.0327096689781499	0.0727272727272727
BA	H39	BA H39	1	4.778	16	1.06896551724138	28	19	39	210	28	5.86019254918376	0.133333333333333
PaDi	H37	PaDi H37	1	64.321	106.984563655815	0.517241379310345	4	2	4	4	4	0.0621880878717682	1
BL	af	BL af	1	62.909	241.286863270777	0.772727272727273	29	26	29	29	29	0.460983325120412	1
PaDi	H02	PaDi H02	1	2.556	4.8000192000768	1	3	1	8	53	3	1.17370892018779	0.0566037735849057
BaTh	bq	BaTh bq	1	2.25	2	1	28	21	35	51	28	12.4444444444444	0.549019607843137
EsCo	am	EsCo am	1	0.211	2	1.49407114624506	14	8	23	321	14	66.3507109004739	0.043613707165109
PaDi	D25	PaDi D25	1	8.524	17.0010200612037	0.902439024390244	7	3	14	84	7	0.821210699202253	0.0833333333333333
BL	D30	BL D30	1	12.385	20.9995800083998	0.380952380952381	46	42	46	46	46	3.7141703673799	1
AkSp	aa	AkSp aa	1	0.951	1	2	18	11	26	62	18	18.9274447949527	0.290322580645161
AkMu	am	AkMu am	1	0.925	1	1	1	0	5	66	1	1.08108108108108	0.0151515151515152
BL	H41	BL H41	1	23.625	17.7107580204433	1.26470588235294	12	6	20	68	12	0.507936507936508	0.176470588235294
PaDi	H06	PaDi H06	1	34.969	59.142434696895	2.77777777777778	2	0	7	64	2	0.0571935142554834	0.03125
BA	D544	BA D544	1	235.294	223.831468071099	0.91304347826087	3	1	8	22	3	0.0127500063750032	0.136363636363636
BA	H20	BA H20	1	28.7	64.0532923392262	0.586206896551724	7	3	14	58	7	0.24390243902439	0.120689655172414
BA	H29	BA H29_lineage3	1	14.714	27.9994400111998	1.06666666666667	1	0	5	81	1	0.0679624847084409	0.0123456790123457
BA	H29	BA H29_lineage2	1	8.2	18.3751148444678	1.06666666666667	1	0	5	81	1	0.121951219512195	0.0123456790123457
BA	H11	BA H11	1	3.833	4	1.28571428571429	4	1	10	60	4	1.04356900600052	0.0666666666666667
BL	D56	BL D56	1	17.714	20.3004466098254	3.2	90	81	97	108	90	5.08072710850175	0.833333333333333
RuLa	am	RuLa am	1	6	6.00006000060001	0.733333333333333	5	2	11	44	5	0.833333333333333	0.113636363636364
BL	H02	BL H02	1	3.5	5	0.518518518518518	1	0	5	43	1	0.285714285714286	0.0232558139534884
PaDi	H40	PaDi H40	1	1.5	3.0000300003	1.23076923076923	1	0	5	63	1	0.666666666666667	0.0158730158730159
PaMe	am	PaMe am	1	7.5	12.0004800192008	2.76923076923077	2	0	7	62	2	0.266666666666667	0.032258064516129
BL	H35	BL H35	1	135.333	279.045212866247	3.07407407407407	12	6	19	64	12	0.0886701691383476	0.1875
BiPs	am	BiPs am	1	128.188	100.806451612903	0.991525423728814	3	1	8	52	3	0.0234031266577215	0.0576923076923077
PaDi	H32	PaDi H32_lineage4	1	10	12.3199605761262	0.928571428571429	1	0	5	20	1	0.1	0.05
BL	D549	BL D549_lineage3	1	2	3.0000300003	1.42307692307692	16	10	24	60	16	8	0.266666666666667
PaEx	am	PaEx am	1	132.727	175.581614096695	2.84615384615385	1	0	5	31	1	0.00753426205670286	0.032258064516129
BA	H25	BA H25	1	6.25	10.9090512398137	0.846153846153846	2	0	7	37	2	0.32	0.0540540540540541
PaDi	H05	PaDi H05	1	29.273	56.7018428098913	0.772727272727273	4	1	7	10	4	0.136644689645749	0.4
PaDi	HX	PaDi HX_lineage2	0	8.818	14.9992500374981	1.96551724137931	30	27	30	30	0	0	0
PaDi	HX	PaDi HX	0	7.812	12.9999566668111	1.96551724137931	30	27	30	30	0	0	0
PaDi	H14	PaDi H14	0	8.889	16.999864001088	0.9	22	19	22	22	0	0	0
BA	H17	BA H17_lineage3	0	17.571	63.0006300063001	0.540540540540541	42	38	42	42	0	0	0
BA	H17	BA H17	0	15	26.76898367092	0.540540540540541	42	33	51	84	0	0	0
BA	D84	BA D84	0	66.4	47.605823779109	1.13333333333333	35	31	35	35	0	0	0
BA	D469	BA D469	0	113.182	108.332972223426	1.04545454545455	20	17	20	20	0	0	0
PaDi	H03	PaDi H03	0	10.737	29.0023201856149	1.0952380952381	76	72	76	76	0	0	0
BaVu	aa	BaVu aa	0	16.125	48.99919151334	1	20	17	20	20	0	0	0
BA	H02	BA H02	0	4	8	0.578947368421053	74	60	89	222	0	0	0
PaDi	H15	PaDi H15	0	29.704	35.9971202303816	0.1	5	2	5	5	0	0	0
BA	D105	BA D105	0	30.348	46.6635557629491	1	60	56	60	60	0	0	0
BA	H37	BA H37_lineage2	0	9.25	12	0.464285714285714	32	29	32	32	0	0	0
PaDi	H42	PaDi H42_lineage2	0	6.462	10	2	23	20	23	23	0	0	0
PaDi	H42	PaDi H42	0	4.353	7.33326000073333	2	23	20	23	23	0	0	0
BA	D442	BA D442	0	4.6	8.4000336001344	1	59	55	59	59	0	0	0
BL	H11	BL H11_lineage3	0	4.364	4.50004500045	0.464285714285714	41	37	41	41	0	0	0
BA	H26	BA H26_lineage2	0	3.667	7	0.375	62	58	62	62	0	0	0
BA	D574	BA D574	0	83.56	331.031873640405	1	29	26	29	29	0	0	0
PaDi	D571	PaDi D571	0	2.25	4	1.83333333333333	25	22	25	25	0	0	0
BiPs	aa	BiPs aa	0	12.222	46.9993831330964	1.8	32	29	32	32	0	0	0
PaDi	D503	PaDi D503	0	12.455	17.9993700220492	0.8	9	5	13	18	0	0	0
PaDi	D503	PaDi D503_lineage2	0	15.273	18.9472886429952	0.8	9	6	9	9	0	0	0
EsCo	cx	EsCo cx	0	1.841	10.9998900011	1.9047619047619	26	23	26	26	0	0	0
BaFr	af	BaFr af	0	3.429	4	1	26	23	26	26	0	0	0
BL	H09	BL H09_lineage4	0	27.167	42.4292684808393	0.827586206896552	57	53	57	57	0	0	0
BL	H09	BL H09	0	28.4	11.3327289211242	0.827586206896552	57	53	57	57	0	0	0
BL	H09	BL H09_lineage2	0	12	20	0.827586206896552	57	53	57	57	0	0	0
BL	H09	BL H09_lineage3	0	8.6	16	0.827586206896552	57	53	57	57	0	0	0
BA	H30	BA H30_lineage2	0	7	14.9997500041666	0.625	42	38	42	42	0	0	0
BaSa	bq	BaSa bq	0	2.333	4	1	29	26	29	29	0	0	0
BA	D116	BA D116	0	44.154	61.9962802231866	1	70	66	70	70	0	0	0
BA	D05	BA D05_lineage2	0	36.75	73.4629294755877	0.714285714285714	97	93	97	97	0	0	0
BA	D05	BA D05_lineage4	0	6.75	17.5	0.714285714285714	97	93	97	97	0	0	0
BA	D05	BA D05	0	68.556	84.9994456557892	0.714285714285714	97	93	97	97	0	0	0
PaDi	aa	PaDi aa	0	5	10	0.75	30	27	30	30	0	0	0
BL	H40	BL H40	0	10.16	30.00300030003	1	19	16	19	19	0	0	0
PaDi	D14	PaDi D14	0	2.92	5	1.24324324324324	33	30	33	33	0	0	0
BA	H34	BA H34	0	36.778	106.07370157932	1	65	53	77	130	0	0	0
BL	H06	BL H06	0	9.55	20.9995800083998	0.9	7	4	7	7	0	0	0
PaDi	D549	PaDi D549	0	3.333	4.4999775001125	0.875	51	47	51	51	0	0	0
BA	D01	BA D01	0	2	5	0.444444444444444	15	12	15	15	0	0	0
BL	D110	BL D110	0	1.4	1.33333333333333	1	31	28	31	31	0	0	0
BL	D82	BL D82_lineage4	0	3.857	4.66657333519996	2.77777777777778	50	46	50	50	0	0	0
BL	D82	BL D82	0	6.4	6.00024000960038	2.77777777777778	50	46	50	50	0	0	0
BA	H39	BA H39_lineage3	0	31.625	57.9994646203266	1.06896551724138	105	101	105	105	0	0	0
BA	D114	BA D114_lineage3	0	13.455	37.000037000037	1.06896551724138	49	45	49	49	0	0	0
BA	D114	BA D114	0	25.25	28	1.06896551724138	49	45	49	49	0	0	0
PaDi	D469	PaDi D469	0	2.071	1.66663888935184	2.05263157894737	49	45	49	49	0	0	0
BiPs	bq	BiPs bq	0	20.852	64.0040962621608	1	49	45	49	49	0	0	0
