species_short	neworder	species	fullname
A.equolifaciens	3	AdEq	Adlercreutzia_equolifaciens
A.finegoldii	6	AlFi	Alistipes_finegoldii
A.hadrus	13	AnHa	Anaerostipes_hadrus
A.indistinctus	7	AlIn	Alistipes_indistinctus
A.intestini	1	AcIn	Acidaminococcus_intestini
A.muciniphila	4	AkMu	Akkermansia_muciniphila
A.obesi	8	AlOb	Alistipes_obesi
A.onderdonkii	9	AlOn	Alistipes_onderdonkii
A.oris	2	AcOr	Actinomyces_oris
A.putredinis	10	AlPu	Alistipes_putredinis
A.senegalensis	11	AlSe	Alistipes_senegalensis
A.shahii	12	AlSh	Alistipes_shahii
Akkermansia.sp.	5	AkSp	Akkermansia_sp.
Anaerostipes.sp.	14	AnSp	Anaerostipes_sp.
B.adolescentis	36	BA	Bifidobacterium_adolescentis
B.animalis	37	BiAn	Bifidobacterium_animalis
B.bifidum	38	BiBi	Bifidobacterium_bifidum
B.caccae	16	BaCa	Bacteroides_caccae
B.catenulatum	39	BiCa	Bifidobacterium_catenulatum
B.cellulosilyticus	17	BaCe	Bacteroides_cellulosilyticus
B.clarus	18	BaCl	Bacteroides_clarus
B.coagulans	15	BaCo	Bacillus_coagulans
B.dentium	40	BiDe	Bifidobacterium_dentium
Bifidobacterium.sp.	193	BiSp	Bifidobacterium_dentium
B.dorei	19	BaDo	Bacteroides_dorei
B.eggerthii	20	BaEg	Bacteroides_eggerthii
B.faecis	21	BaFa	Bacteroides_faecis
B.finegoldii	22	BaFi	Bacteroides_finegoldii
B.fragilis	23	BaFr	Bacteroides_fragilis
B.intestinalis	24	BaIn	Bacteroides_intestinalis
B.longum	41	BL	Bifidobacterium_longum
Bacteroides.massiliensis	25	BaMa	Bacteroides_massiliensis
Bittarella.massiliensis	44	BiMa	Bittarella_massiliensis
Blautia.massiliensis	45	BlMa	Blautia_massiliensis
B.nordii	26	BaNo	Bacteroides_nordii
B.obeum	46	BlOb	Blautia_obeum
B.ovatus	27	BaOv	Bacteroides_ovatus
B.plebeius	28	BaPl	Bacteroides_plebeius
B.pseudocatenulatum	42	BiPs	Bifidobacterium_pseudocatenulatum
B.salyersiae	29	BaSa	Bacteroides_salyersiae
B.stercoris	31	BaSt	Bacteroides_stercoris
B.thetaiotaomicron	32	BaTh	Bacteroides_thetaiotaomicron
B.uniformis	33	BaUn	Bacteroides_uniformis
B.virosa	50	BuVi	Butyricimonas_virosa
B.vulgatus	34	BaVu	Bacteroides_vulgatus
B.wadsworthia	43	BiWa	Bilophila_wadsworthia
B.wexlerae	48	BlWe	Blautia_wexlerae
B.xylanisolvens	35	BaXy	Bacteroides_xylanisolvens
Bacteroides.sp.	30	BaSp	Bacteroides_sp.
Blautia.sp.	47	BlSp	Blautia_sp.
Butyricicoccus.sp.	49	BuSp	Butyricicoccus_sp.
C.acnes	70	CuAc	Cutibacterium_acnes
C.aerofaciens	65	CoAe	Collinsella_aerofaciens
C.amalonaticus	53	CiAm	Citrobacter_amalonaticus
C.baratii	56	ClBa	Clostridium_baratii
C.beijerinckii	57	ClBe	Clostridium_beijerinckii
C.butyricum	58	ClBu	Clostridium_butyricum
C.catus	67	CoCa	Coprococcus_catus
C.citroniae	59	ClCi	Clostridium_citroniae
