	newgene	geneID	identity	AA2	oldgeneID	gene_name	EGGNOG	annotation	COG	COG1	COG2	type
0	D485_BL_06_NODE_14_length_70959_cov_31708_31927_1	0	100.0	1	186							Others
1	D110_BL_03_NODE_3_length_312211_cov_31571_32177_1	3	100.0	1	141	D110_BL_03_NODE_3_length_312211_cov_31571_32177_1	COG3547	Transposase (IS116 IS110 IS902 family)	L	INFORMATION STORAGE AND PROCESSING	Replication, recombination and repair	Others
2	D82_BL_13_NODE_10_length_96939_cov_11840_12190_53	7	39.676117647058824	34	29	D82_BL_13_NODE_10_length_96939_cov_11840_12190_53	COG2027	D-alanyl-D-alanine carboxypeptidase	M	CELLULAR PROCESSES AND SIGNALING	Cell wall/membrane/envelope biogenesis	Others
3	H41_BL_13_NODE_3_length_253622_cov_201193_201864_80	8	95.5015	4	55	H41_BL_13_NODE_3_length_253622_cov_201193_201864_80	COG0634	Belongs to the purine pyrimidine phosphoribosyltransferase family	F	METABOLISM	   Nucleotide transport and metabolism	Others
4	D82_BL_13_NODE_10_length_96939_cov_11840_12190_51	9	99.57466666666666	6	114	D82_BL_13_NODE_10_length_96939_cov_11840_12190_51	COG0634	Belongs to the purine pyrimidine phosphoribosyltransferase family	F	METABOLISM	   Nucleotide transport and metabolism	Others
5	H02_BL_11_NODE_4_length_129034_cov_48128_48799_73	12	98.68912499999999	8	10	H02_BL_11_NODE_4_length_129034_cov_48128_48799_73	COG0465	Acts as a processive, ATP-dependent zinc metallopeptidase for both cytoplasmic and membrane proteins. Plays a role in the quality control of integral membrane proteins	O	CELLULAR PROCESSES AND SIGNALING	Posttranslational modification, protein turnover, chaperones	Others
6	H35_BL_10_NODE_2_length_379347_cov_263239_263717_80	13	60.625	10	184							Others
7	H35_BL_10_NODE_2_length_379347_cov_263239_263717_79	14	99.25	8	113	H35_BL_10_NODE_2_length_379347_cov_263239_263717_79	COG0302	gtp cyclohydrolase	H	METABOLISM	   Coenzyme transport and metabolism	Others
8	H02_BL_11_NODE_4_length_129034_cov_48128_48799_71	15	98.80149999999999	8	81	H02_BL_11_NODE_4_length_129034_cov_48128_48799_71	COG0294	Catalyzes the condensation of para-aminobenzoate (pABA) with 6-hydroxymethyl-7,8-dihydropterin diphosphate (DHPt-PP) to form 7,8-dihydropteroate (H2Pte), the immediate precursor of folate derivatives	H	METABOLISM	   Coenzyme transport and metabolism	Others
9	D82_BL_17_NODE_10_length_97163_cov_84699_85049_8	16	58.33505000000001	20	32	D82_BL_17_NODE_10_length_97163_cov_84699_85049_8	COG1539	Catalyzes the conversion of 7,8-dihydroneopterin to 6- hydroxymethyl-7,8-dihydropterin	H	METABOLISM	   Coenzyme transport and metabolism	Others
10	H02_BL_11_NODE_4_length_129034_cov_48128_48799_69	17	98.579625	8	117	H02_BL_11_NODE_4_length_129034_cov_48128_48799_69	33CMQ	Protein of unknown function (DUF3180)	S	POORLY CHARACTERIZED	     Function unknown	Others
11	H02_BL_11_NODE_4_length_129034_cov_48128_48799_68	18	98.30539999999999	10	79	H02_BL_11_NODE_4_length_129034_cov_48128_48799_68	COG1946	Acyl-CoA thioesterase	I	METABOLISM	   Lipid transport and metabolism	Others
12	H35_BL_10_NODE_2_length_379347_cov_263239_263717_74	19	49.59783333333333	36	20	H35_BL_10_NODE_2_length_379347_cov_263239_263717_74	COG0488	(ABC) transporter	L	INFORMATION STORAGE AND PROCESSING	Replication, recombination and repair	Others
13	H02_BL_11_NODE_4_length_129034_cov_48128_48799_66	20	28.362800000000004	25	19	H02_BL_11_NODE_4_length_129034_cov_48128_48799_66	COG2814	Major facilitator Superfamily	P	METABOLISM	   Inorganic ion transport and metabolism	Others
14	D82_BL_13_NODE_10_length_96939_cov_11840_12190_43	21	60.96813157894737	38	72	D82_BL_13_NODE_10_length_96939_cov_11840_12190_43	COG1940	carbohydrate kinase activity	K	INFORMATION STORAGE AND PROCESSING	Transcription	Others
15	H02_BL_12_NODE_2_length_317123_cov_34922_35077_2	22	58.05394444444445	36	83	H02_BL_12_NODE_2_length_317123_cov_34922_35077_2	COG1129	ABC transporter	G	METABOLISM	   Carbohydrate transport and metabolism	Others
16	H02_BL_12_NODE_2_length_317123_cov_34922_35077_3	23	65.74786842105263	38	54	H02_BL_12_NODE_2_length_317123_cov_34922_35077_3	COG1940	carbohydrate kinase activity	K	INFORMATION STORAGE AND PROCESSING	Transcription	Others
17	H02_BL_12_NODE_2_length_317123_cov_34922_35077_4	24	94.6300740740741	27	56	H02_BL_12_NODE_2_length_317123_cov_34922_35077_4	COG4213	ABC transporter substrate-binding protein	G	METABOLISM	   Carbohydrate transport and metabolism	Others
18	D30_BL_19_NODE_2_length_240698_cov_228098_228769_3	25	76.92581081081084	37	25	D30_BL_19_NODE_2_length_240698_cov_228098_228769_3	COG1129	ABC transporter	G	METABOLISM	   Carbohydrate transport and metabolism	Others
19	H11_BL_18_NODE_3_length_195611_cov_71992_72599_71	26	86.09254054054051	37	48	H11_BL_18_NODE_3_length_195611_cov_71992_72599_71	COG4214	carbohydrate transport	G	METABOLISM	   Carbohydrate transport and metabolism	Others
20	H41_BL_13_NODE_3_length_253622_cov_201193_201864_65	27	79.88725	36	163	H41_BL_13_NODE_3_length_253622_cov_201193_201864_65	31SS1		S	POORLY CHARACTERIZED	     Function unknown	Others
21	D56_BL_10_NODE_4_length_201238_cov_83016_83619_75	28	93.85178571428571	28	125	D56_BL_10_NODE_4_length_201238_cov_83016_83619_75	COG1846	Transcriptional regulator	K	INFORMATION STORAGE AND PROCESSING	Transcription	Others
22	H02_BL_11_NODE_4_length_129034_cov_48128_48799_58	29	84.95446874999999	32	123	H02_BL_11_NODE_4_length_129034_cov_48128_48799_58	COG1846	Transcriptional regulator	K	INFORMATION STORAGE AND PROCESSING	Transcription	Others
