	AA2	gene_name	geneID	identity	EGGNOG	annotation	COG	COG1	COG2	ref	type
0	1	D110_BL_03_NODE_3_length_312211_cov_31571_32177_1	-28.5	100.0	COG3547	Transposase (IS116 IS110 IS902 family)	L	INFORMATION STORAGE AND PROCESSING	Replication, recombination and repair	D110_BL_03_NODE_3_length_312211_cov_31571_32177	Others
1	35	D110_BL_03_NODE_3_length_312211_cov_31571_32177_10	-19.5	99.96622857142856	COG1070	Carbohydrate kinase	G	METABOLISM	   Carbohydrate transport and metabolism	D110_BL_03_NODE_3_length_312211_cov_31571_32177	Others
2	35	D110_BL_03_NODE_3_length_312211_cov_31571_32177_11	-18.5	99.9512	COG1940	carbohydrate kinase activity	K	INFORMATION STORAGE AND PROCESSING	Transcription	D110_BL_03_NODE_3_length_312211_cov_31571_32177	Others
3	35	D110_BL_03_NODE_3_length_312211_cov_31571_32177_12	-17.5	100.0	COG0254	rRNA binding	J	INFORMATION STORAGE AND PROCESSING	Translation, ribosomal structure and biogenesis	D110_BL_03_NODE_3_length_312211_cov_31571_32177	Others
4	35	D110_BL_03_NODE_3_length_312211_cov_31571_32177_13	-16.5	99.52017142857143	COG0216	Peptide chain release factor 1 directs the termination of translation in response to the peptide chain termination codons UAG and UAA	J	INFORMATION STORAGE AND PROCESSING	Translation, ribosomal structure and biogenesis	D110_BL_03_NODE_3_length_312211_cov_31571_32177	Others
5	35	D110_BL_03_NODE_3_length_312211_cov_31571_32177_14	-15.5	92.24497142857138	COG2890	protein-(glutamine-N5) methyltransferase activity	J	INFORMATION STORAGE AND PROCESSING	Translation, ribosomal structure and biogenesis	D110_BL_03_NODE_3_length_312211_cov_31571_32177	Others
6	35	D110_BL_03_NODE_3_length_312211_cov_31571_32177_15	-14.5	75.89280000000002	COG0683	leucine binding	E	METABOLISM	   Amino acid transport and metabolism	D110_BL_03_NODE_3_length_312211_cov_31571_32177	Others
7	37	D110_BL_03_NODE_3_length_312211_cov_31571_32177_16	-13.5	76.27727027027026	COG0559	Belongs to the binding-protein-dependent transport system permease family	E	METABOLISM	   Amino acid transport and metabolism	D110_BL_03_NODE_3_length_312211_cov_31571_32177	Others
8	35	D110_BL_03_NODE_3_length_312211_cov_31571_32177_17	-12.5	79.39102857142855	COG4177	L-phenylalanine transmembrane transporter activity	E	METABOLISM	   Amino acid transport and metabolism	D110_BL_03_NODE_3_length_312211_cov_31571_32177	Others
9	37	D110_BL_03_NODE_3_length_312211_cov_31571_32177_18	-11.5	74.41127027027025	COG0411	ABC transporter	E	METABOLISM	   Amino acid transport and metabolism	D110_BL_03_NODE_3_length_312211_cov_31571_32177	Others
10	35	D110_BL_03_NODE_3_length_312211_cov_31571_32177_19	-10.5	77.15665714285711	COG0410	ABC transporter	E	METABOLISM	   Amino acid transport and metabolism	D110_BL_03_NODE_3_length_312211_cov_31571_32177	Others
11	32	D110_BL_03_NODE_3_length_312211_cov_31571_32177_2	-27.5	96.76962500000002	30TT6		S	POORLY CHARACTERIZED	     Function unknown	D110_BL_03_NODE_3_length_312211_cov_31571_32177	Others
12	37	D110_BL_03_NODE_3_length_312211_cov_31571_32177_20	-9.5	99.18613513513507	COG0110	maltose O-acetyltransferase activity	J	INFORMATION STORAGE AND PROCESSING	Translation, ribosomal structure and biogenesis	D110_BL_03_NODE_3_length_312211_cov_31571_32177	Others
13	37	D110_BL_03_NODE_3_length_312211_cov_31571_32177_21	-8.5	99.92735135135138	COG0009	L-threonylcarbamoyladenylate synthase	J	INFORMATION STORAGE AND PROCESSING	Translation, ribosomal structure and biogenesis	D110_BL_03_NODE_3_length_312211_cov_31571_32177	Others
14	37	D110_BL_03_NODE_3_length_312211_cov_31571_32177_22	-7.5	99.21086486486479	COG0472	First step of the lipid cycle reactions in the biosynthesis of the cell wall peptidoglycan	M	CELLULAR PROCESSES AND SIGNALING	Cell wall/membrane/envelope biogenesis	D110_BL_03_NODE_3_length_312211_cov_31571_32177	Others
15	37	D110_BL_03_NODE_3_length_312211_cov_31571_32177_23	-6.5	99.93740540540536	COG0516	GMP reductase activity	F	METABOLISM	   Nucleotide transport and metabolism	D110_BL_03_NODE_3_length_312211_cov_31571_32177	Others
16	38	D110_BL_03_NODE_3_length_312211_cov_31571_32177_24	-5.5	98.38078947368425	COG1949	3'-to-5' exoribonuclease specific for small oligoribonucleotides	L	INFORMATION STORAGE AND PROCESSING	Replication, recombination and repair	D110_BL_03_NODE_3_length_312211_cov_31571_32177	Others
17	38	D110_BL_03_NODE_3_length_312211_cov_31571_32177_25	-4.5	99.7998684210527	COG0507	A helicase nuclease that prepares dsDNA breaks (DSB) for recombinational DNA repair. Binds to DSBs and unwinds DNA via a highly rapid and processive ATP-dependent bidirectional helicase activity. Unwinds dsDNA until it encounters a Chi (crossover hotspot instigator) sequence from the 3' direction. Cuts ssDNA a few nucleotides 3' to the Chi site. The properties and activities of the enzyme are changed at Chi. The Chi-altered holoenzyme produces a long 3'-ssDNA overhang and facilitates RecA-binding to the ssDNA for homologous DNA recombination and repair. Holoenzyme degrades any linearized DNA that is unable to undergo homologous recombination. In the holoenzyme this subunit has ssDNA-dependent ATPase and 5'-3' helicase activity. When added to pre-assembled RecBC greatly stimulates nuclease activity and augments holoenzyme processivity. Negatively regulates the RecA-loading ability of RecBCD	L	INFORMATION STORAGE AND PROCESSING	Replication, recombination and repair	D110_BL_03_NODE_3_length_312211_cov_31571_32177	Others
18	8	D110_BL_03_NODE_3_length_312211_cov_31571_32177_26	-3.5	55.406625000000005						D110_BL_03_NODE_3_length_312211_cov_31571_32177	Others
19	37	D110_BL_03_NODE_3_length_312211_cov_31571_32177_27	-2.5	99.95762162162164	COG3513	CRISPR (clustered regularly interspaced short palindromic repeat) is an adaptive immune system that provides protection against mobile genetic elements (viruses, transposable elements and conjugative plasmids). CRISPR clusters contain spacers, sequences complementary to antecedent mobile elements, and target invading nucleic acids. CRISPR clusters are transcribed and processed into CRISPR RNA (crRNA). In type II CRISPR systems correct processing of pre-crRNA requires a trans-encoded small RNA (tracrRNA), endogenous ribonuclease 3 (rnc) and this protein. The tracrRNA serves as a guide for ribonuclease 3-aided processing of pre-crRNA. Subsequently Cas9 crRNA tracrRNA endonucleolytically cleaves linear or circular dsDNA target complementary to the spacer	L	INFORMATION STORAGE AND PROCESSING	Replication, recombination and repair	D110_BL_03_NODE_3_length_312211_cov_31571_32177	Cas genes
20	39	D110_BL_03_NODE_3_length_312211_cov_31571_32177_28	-1.5	100.0	COG1518	maintenance of DNA repeat elements	L	INFORMATION STORAGE AND PROCESSING	Replication, recombination and repair	D110_BL_03_NODE_3_length_312211_cov_31571_32177	Cas genes
21	39	D110_BL_03_NODE_3_length_312211_cov_31571_32177_29	-0.5	100.0	COG3512	CRISPR (clustered regularly interspaced short palindromic repeat), is an adaptive immune system that provides protection against mobile genetic elements (viruses, transposable elements and conjugative plasmids). CRISPR clusters contain sequences complementary to antecedent mobile elements and target invading nucleic acids. CRISPR clusters are transcribed and processed into CRISPR RNA (crRNA). Functions as a ssRNA-specific endoribonuclease. Involved in the integration of spacer DNA into the CRISPR cassette	L	INFORMATION STORAGE AND PROCESSING	Replication, recombination and repair	D110_BL_03_NODE_3_length_312211_cov_31571_32177	Cas genes
22	32	D110_BL_03_NODE_3_length_312211_cov_31571_32177_3	-26.5	99.50500000000005	COG2223	nitrite transmembrane transporter activity	P	METABOLISM	   Inorganic ion transport and metabolism	D110_BL_03_NODE_3_length_312211_cov_31571_32177	Others
23	37	D110_BL_03_NODE_3_length_312211_cov_31571_32177_30	0.5	99.94551351351353	COG0442	prolyl-tRNA aminoacylation	J	INFORMATION STORAGE AND PROCESSING	Translation, ribosomal structure and biogenesis	D110_BL_03_NODE_3_length_312211_cov_31571_32177	Others
